,date_updated_30,iso_code,location,total_cases_30,total_cases_30_pred
23449,2020-08-31,PRT,Portugal,57768.0,42857.8046875
23004,2020-08-31,PRY,Paraguay,17195.0,15402.4853515625
22997,2020-08-31,PSE,Palestine,29063.0,28855.40234375
27214,2020-08-31,QAT,Qatar,118575.0,136071.5625
27214,2020-08-31,ROU,Romania,86785.0,76545.3046875
27214,2020-08-31,RUS,Russia,990326.0,1012627.375
22260,2020-08-31,RWA,Rwanda,4020.0,8484.7236328125
23075,2020-08-31,SAU,Saudi Arabia,314821.0,340783.46875
22365,2020-08-31,SDN,Sudan,13189.0,26948.298828125
23380,2020-08-31,SEN,Senegal,13556.0,9702.6259765625
27214,2020-08-31,SGP,Singapore,56771.0,52549.25390625
19805,2020-08-31,SLE,Sierra Leone,2022.0,430.1491394042969
21766,2020-08-31,SLV,El Salvador,25729.0,42787.12890625
22022,2020-08-31,SOM,Somalia,3310.0,4490.75439453125
23717,2020-08-31,SRB,Serbia,31365.0,39727.58984375
21608,2020-08-31,SUR,Suriname,4009.0,4250.50048828125
22915,2020-08-31,SVK,Slovakia,3876.0,4181.23095703125
23072,2020-08-31,SVN,Slovenia,2865.0,-2382.093017578125
27214,2020-08-31,SWE,Sweden,83958.0,77976.4140625
22260,2020-08-31,SWZ,Swaziland,4561.0,5711.25439453125
22260,2020-08-31,SYC,Seychelles,136.0,-2451.229736328125
21630,2020-08-31,TCD,Chad,1012.0,6005.43798828125
23237,2020-08-31,TGO,Togo,1396.0,3834.824951171875
27214,2020-08-31,THA,Thailand,3412.0,13279.5830078125
14985,2020-08-31,TJK,Tajikistan,8550.0,11517.7861328125
21346,2020-08-31,TLS,Timor,27.0,1547.610107421875
22468,2020-08-31,TTO,Trinidad and Tobago,1683.0,-3623.780517578125
22910,2020-08-31,TUN,Tunisia,3685.0,3300.567138671875
22347,2020-08-31,TUR,Turkey,268546.0,280543.8125
22022,2020-08-31,TZA,Tanzania,509.0,8225.9306640625
21346,2020-08-31,UGA,Uganda,2928.0,5719.84033203125
22825,2020-08-31,UKR,Ukraine,119074.0,80714.8359375
22260,2020-08-31,URY,Uruguay,1585.0,6264.93017578125
27214,2020-08-31,USA,United States,5997163.0,6142122.5
22143,2020-08-31,UZB,Uzbekistan,41651.0,38070.421875
22260,2020-08-31,VEN,Venezuela,45868.0,47818.69140625
27214,2020-08-31,VNM,Vietnam,1040.0,19109.2109375
18367,2020-08-31,YEM,Yemen,1953.0,3936.512451171875
24948,2020-08-31,ZAF,South Africa,625056.0,679881.625
21766,2020-08-31,ZMB,Zambia,12025.0,7402.12158203125
21491,2020-08-31,ZWE,Zimbabwe,6412.0,8223.7978515625
