,date_updated_30,iso_code,location,total_deaths_30,total_deaths_30_pred
20740,2020-08-31,MLI,Mali,126.0,70.01629638671875
21324,2020-08-31,MMR,Myanmar,6.0,484.86968994140625
22349,2020-08-31,MNG,Mongolia,0.0,17.465023040771484
21197,2020-08-31,MOZ,Mozambique,23.0,201.59613037109375
22260,2020-08-31,MRT,Mauritania,159.0,296.10711669921875
21630,2020-08-31,MUS,Mauritius,10.0,-276.66607666015625
19487,2020-08-31,MWI,Malawi,174.0,620.9086303710938
27214,2020-08-31,MYS,Malaysia,126.0,91.72161865234375
22260,2020-08-31,NAM,Namibia,72.0,495.81842041015625
21491,2020-08-31,NER,Niger,69.0,444.22674560546875
27214,2020-08-31,NGA,Nigeria,1013.0,2193.691650390625
21766,2020-08-31,NIC,Nicaragua,137.0,-89.81939697265625
27214,2020-08-31,NLD,Netherlands,6215.0,6115.1669921875
27214,2020-08-31,NOR,Norway,264.0,260.33538818359375
27214,2020-08-31,NPL,Nepal,221.0,17.372005462646484
27214,2020-08-31,NZL,New Zealand,22.0,173.30999755859375
27214,2020-08-31,OMN,Oman,677.0,1280.617431640625
27214,2020-08-31,PAK,Pakistan,6294.0,5873.4501953125
22837,2020-08-31,PAN,Panama,1995.0,2127.624267578125
23585,2020-08-31,PER,Peru,28788.0,25939.548828125
27214,2020-08-31,PHL,Philippines,3520.0,3524.498779296875
21491,2020-08-31,PNG,Papua New Guinea,5.0,-185.64532470703125
23080,2020-08-31,POL,Poland,2033.0,2970.191650390625
20430,2020-08-31,PRI,Puerto Rico,434.0,1008.0905151367188
23449,2020-08-31,PRT,Portugal,1819.0,3187.8134765625
23004,2020-08-31,PRY,Paraguay,308.0,749.4712524414062
22997,2020-08-31,PSE,Palestine,166.0,-121.95269775390625
27214,2020-08-31,QAT,Qatar,197.0,1495.872802734375
27214,2020-08-31,ROU,Romania,3578.0,3317.009765625
27214,2020-08-31,RUS,Russia,17093.0,13254.1015625
22260,2020-08-31,RWA,Rwanda,16.0,76.58734130859375
23075,2020-08-31,SAU,Saudi Arabia,3870.0,5143.35400390625
22365,2020-08-31,SDN,Sudan,823.0,904.4181518554688
23380,2020-08-31,SEN,Senegal,284.0,173.65716552734375
27214,2020-08-31,SGP,Singapore,27.0,345.14739990234375
19805,2020-08-31,SLE,Sierra Leone,70.0,288.00238037109375
21766,2020-08-31,SLV,El Salvador,717.0,1003.9882202148438
22022,2020-08-31,SOM,Somalia,98.0,5.532650947570801
23717,2020-08-31,SRB,Serbia,711.0,628.5097045898438
21608,2020-08-31,SUR,Suriname,67.0,-294.18096923828125
22915,2020-08-31,SVK,Slovakia,33.0,305.51434326171875
23072,2020-08-31,SVN,Slovenia,128.0,90.80902099609375
27214,2020-08-31,SWE,Sweden,5821.0,6550.5048828125
22260,2020-08-31,SWZ,Swaziland,91.0,357.89715576171875
22260,2020-08-31,SYC,Seychelles,0.0,64.46868896484375
21630,2020-08-31,TCD,Chad,77.0,301.57269287109375
23237,2020-08-31,TGO,Togo,27.0,1.8353852033615112
27214,2020-08-31,THA,Thailand,58.0,-3.0012848377227783
14985,2020-08-31,TJK,Tajikistan,68.0,-292.93951416015625
21346,2020-08-31,TLS,Timor,0.0,335.30389404296875
22468,2020-08-31,TTO,Trinidad and Tobago,21.0,322.85076904296875
22910,2020-08-31,TUN,Tunisia,76.0,20.519954681396484
22347,2020-08-31,TUR,Turkey,6326.0,5889.78515625
22022,2020-08-31,TZA,Tanzania,21.0,351.22406005859375
21346,2020-08-31,UGA,Uganda,30.0,75.78680419921875
22825,2020-08-31,UKR,Ukraine,2527.0,1422.7763671875
22260,2020-08-31,URY,Uruguay,44.0,-44.789859771728516
27214,2020-08-31,USA,United States,183069.0,172587.46875
22143,2020-08-31,UZB,Uzbekistan,317.0,889.2775268554688
22260,2020-08-31,VEN,Venezuela,381.0,680.3233032226562
27214,2020-08-31,VNM,Vietnam,32.0,224.50775146484375
18367,2020-08-31,YEM,Yemen,564.0,90.44256591796875
24948,2020-08-31,ZAF,South Africa,14028.0,12869.4296875
21766,2020-08-31,ZMB,Zambia,287.0,346.56512451171875
21491,2020-08-31,ZWE,Zimbabwe,196.0,266.87152099609375
