primary_key,country,iso_code,population,population_density,median_age,gdp_per_capita,date_minGR,date_maxGR,date_firstNC,date_maxNC,date_maxND,date_3mnthAfter,interval_GRRamp,interval_GRToFirstNC,interval_firstNCToMaxNC,interval_firstNCToMaxND,interval_maxNCToMaxND,index_MaxGR,index_avgMaxGRStartApr1,change_GRRamp,index_string,index_health,index_econ,value_maxNC,value_maxND,value_NC_3mnth,value_TC_3mnth,value_ND_3mnth,value_TD_3mnth,percent_maxNC,percent_maxND,percent_NC_3mnth,percent_ND_3mnth,percent_TC_3mnth,percent_TD_3mnth,percent_newTestsMean,value_totTestsSlope,mobil_residential,mobil_outdoors,mobil_retailRecreation,mobil_parks,mobil_GroceryPharmacy,mobil_transitStations,mobil_workplaces,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,E3_Fiscal measures,E4_International support,H4_Emergency investment in healthcare
BGD2020-08-31,Bangladesh,BGD,164689383.0,1265.036,27.5,3523.9840000000013,2020-03-04,2020-04-13,2020-03-09,2020-07-03,2020-07-01,2020-04-08,40,5,121,114,-2,85.26,73.92751633986961,71.26,81.68973856209163,77.44411764705866,54.57516339869281,4019.0,64.0,41.0,164.0,5.0,17.0,0.00244035160420754,3.886103574751993e-05,2.4895351025754956e-05,3.036018417774994e-06,9.95814041030198e-05,1.0322462620434979e-05,2.02507633068594e-05,0.03859807892702338,17.233333333333334,-39.16444444444445,-52.511111111111106,-24.25555555555556,-33.78888888888889,-49.05555555555557,-36.21111111111111,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,9250857500.0,1500000.0,129870307.0
BRB2020-08-31,Barbados,BRB,287371.0,664.4630000000002,39.8,,2020-03-18,2020-04-19,2020-03-18,2020-08-02,2020-04-06,2020-04-17,32,0,137,19,-118,80.13,66.00869281045762,66.13,68.53078431372548,70.86679738562087,39.29738562091503,12.0,1.0,0.0,75.0,0.0,5.0,0.0041757867008153215,0.00034798222506794355,0.0,0.0,0.026098666880095763,0.0017399111253397178,0.0,0.0,20.814285714285713,-52.10202528987453,-55.55882352941178,-45.99290780141844,-37.842767295597476,-67.20370370370371,-53.91192411924119,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,1010000000.0,15000.0,0.0
BLR2020-08-31,Belarus,BLR,9449321.0,46.858,40.3,,2020-04-09,2020-04-20,2020-02-28,2020-04-30,2020-07-26,2020-03-29,11,-41,21,149,87,25.0,22.989019607843126,11.0,12.944117647058794,27.170261437908497,0.0,973.0,11.0,0.0,94.0,0.0,0.0,0.010297036157412792,0.00011641048071073042,0.0,0.0,0.0009947804715280599,0.0,0.0,0.0,2.3,-2.0377777777777784,-14.044444444444444,39.03333333333333,0.8222222222222222,-15.566666666666665,-20.433333333333334,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
BEL2020-08-31,Belgium,BEL,11589616.0,375.564,41.8,,2020-02-26,2020-05-04,2020-02-04,2020-04-11,2020-04-09,2020-03-05,68,-22,45,65,-2,78.85,67.92418300653614,64.85,64.28784313725482,65.70228758169941,80.1470588235294,2336.0,321.0,53.0,125.0,0.0,0.0,0.020155974106476002,0.002769720756925855,0.0004573059193678203,0.0,0.0010785516966222177,0.0,1.2942620359466613e-07,3.472222222222222e-05,18.45833333333333,-35.69222222222222,-55.37777777777778,-9.111111111111107,-19.06111111111111,-50.16388888888889,-44.74722222222222,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,22000000.0,14829780466.0,0.0,1641350000.0
BLZ2020-08-31,Belize,BLZ,397621.0,16.426,25.0,,2020-03-24,2020-05-15,2020-03-24,2020-08-30,2020-08-25,2020-04-23,52,0,159,154,-5,73.08,67.45326797385617,59.08,73.50202614379087,72.25777777777776,41.01307189542485,94.0,4.0,0.0,18.0,0.0,2.0,0.023640602483269244,0.0010059830843944359,0.0,0.0,0.004526923879774962,0.0005029915421972178,0.0,0.0131601084538376,17.269565217391303,-44.021506478737386,-49.69855072463768,-37.37777777777778,-25.16299559471365,-62.19636363636364,-45.671844660194175,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,24901000.0,0.0,0.0
BEN2020-08-31,Benin,BEN,12123198.0,99.11,18.8,,2020-03-17,2020-04-20,2020-03-17,2020-07-18,2020-06-30,2020-04-16,34,0,123,105,-18,61.86,53.6354248366012,47.86,51.59307189542486,56.986013071895286,35.2124183006536,139.0,3.0,0.0,35.0,0.0,1.0,0.0011465621529896648,2.4745945747978383e-05,0.0,0.0,0.0002887027003930811,8.24864858265946e-06,0.00010901688921795498,0.023950052527499693,8.379446640316205,-7.93332854864547,-15.137931034482758,2.359712230215828,-1.7305555555555556,-19.316666666666666,-5.8412017167381975,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,127683025.0,0.0,18746094.0
BTN2020-08-31,Bhutan,BTN,771612.0,21.188,28.6,,2020-03-06,2020-04-17,2020-03-06,2020-08-31,2020-03-06,2020-04-05,42,0,178,0,-178,82.05,77.27294117647097,68.05,76.67444444444433,77.56764705882362,75.65359477124183,29.0,0.0,0.0,5.0,0.0,0.0,0.0037583656034379967,0.0,0.0,0.0,0.0006479940695582754,0.0,0.0,0.0,,,,,,,,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,397281300.0,100000.0,26485420.0
BOL2020-08-31,Bolivia,BOL,11673029.0,10.202,25.4,,2020-03-12,2020-04-07,2020-03-12,2020-08-16,2020-08-16,2020-04-11,26,0,157,157,0,76.92,72.40529411764709,62.92,92.1683660130718,78.32568627451005,39.869281045751634,2687.0,119.0,8.0,276.0,1.0,20.0,0.023018875392154,0.0010194440534671847,6.853405401460067e-05,8.566756751825084e-06,0.002364424863503723,0.00017133513503650167,1.427792791970847e-05,0.014943301198862934,30.32183908045977,-66.40627136697566,-72.35746102449889,-65.31555555555556,-61.8100686498856,-76.21604938271605,-56.33222222222222,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,586500247.0,0.0,124477844.0
BIH2020-08-31,Bosnia and Herzegovina,BIH,3280815.0,68.49600000000001,42.5,,2020-03-06,2020-04-10,2020-03-06,2020-07-31,2020-07-31,2020-04-05,35,0,147,147,0,75.0,55.404117647058705,61.0,67.44627450980401,61.24477124183007,23.284313725490197,678.0,31.0,46.0,632.0,3.0,21.0,0.0206655968105486,0.0009448871698038443,0.0014020906390637689,9.144069385198496e-05,0.019263506171484833,0.0006400848569638948,0.0,0.0,10.133333333333333,-25.608888888888888,-43.17777777777778,0.5444444444444444,-16.42222222222222,-37.13333333333333,-31.855555555555554,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,655165000.0,0.0,16459500.0
BWA2020-08-31,Botswana,BWA,2351625.0,4.044,25.8,,2020-04-01,2020-04-02,2020-04-01,2020-08-25,2020-08-27,2020-05-01,1,0,146,148,2,75.64,61.38967320261445,61.64,65.5260784313724,61.18928104575159,62.5,254.0,3.0,0.0,23.0,0.0,1.0,0.010801041832775207,0.00012757136022962845,0.0,0.0,0.000978047095093818,4.252378674320948e-05,8.701784227218768e-05,0.0024309907098422115,25.65,-28.826783300870023,-38.714285714285715,-8.764084507042254,-22.82198952879581,-45.21671826625387,-28.61683848797251,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,176163091.0,0.0,4650000.0
