country,primary_key,iso_code,population,population_density,median_age,gdp_per_capita,interval_GRRamp,interval_GRToFirstNC,interval_firstNCToMaxNC,interval_firstNCToMaxND,index_MaxGR,index_avgMaxGRStartApr1,change_GRRamp,index_string,index_health,index_econ,value_maxNC,value_maxND,value_NC_3mnth,value_TC_3mnth,value_ND_3mnth,value_TD_3mnth,percent_maxNC,percent_maxND,percent_NC_3mnth,percent_ND_3mnth,percent_TC_3mnth,percent_TD_3mnth,percent_newTestsMean,value_totTestsSlope,mobil_residential,mobil_outdoors,mobil_retailRecreation,mobil_parks,mobil_GroceryPharmacy,mobil_transitStations,mobil_workplaces,PC 1,PC 2,PC 3,Class,logPercent_maxND,logPercent_NC_3mnth,logPercent_ND_3mnth,logPercent_TD_3mnth,logPercent_TC_3mnth,logPercent_maxNC,logInterval_maxNC,logInterval_maxND
Brazil,BRA2020-08-31,BRA,212559409.0,25.04,33.5,0.0,74,-15,140,155,68.91,65.00274509803913,54.91,75.91666666666694,67.76065359477134,49.83660130718954,69074.0,1595.0,482.0,2915.0,20.0,77.0,0.032496326709301304,0.0007503784506664676,0.00022676013368102657,9.409134177635956e-06,0.0013713813063904409,3.6225166583898436e-05,0.0,0.0,14.508333333333333,-37.30468253968254,-51.224603174603175,-45.41904761904761,-11.886111111111116,-50.64246031746032,-27.35119047619048,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,-3.640961181587732,-4.1397289456197095,-4.7169650754446435,-4.4697543556428565,-2.862841774796858,-1.4881657276377702,0.4771212547196624,1.2787536009528289
Brunei,BRN2020-08-31,BRN,437483.0,81.347,32.4,0.0,32,0,3,19,51.28,44.66647058823523,37.28,48.77581699346396,50.515424836601326,12.5,14.0,1.0,0.0,135.0,0.0,1.0,0.003200124347688939,0.00022858031054920992,0.0,0.0,0.03085834192414334,0.00022858031054920992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7974700497328566,0.9316513206016092,-0.94132742107647,0,-3.4801597882157003,-3.4283150587593667,-4.99583729190831,-3.745065418218706,-1.5106274130927262,-2.4948331459094946,2.2355284469075487,2.2355284469075487
Bulgaria,BGR2020-08-31,BGR,6948445.0,65.18,44.7,0.0,52,0,172,172,74.36,52.57673202614377,60.36,47.386797385620916,49.22745098039216,70.9967320261438,365.0,23.0,18.0,549.0,2.0,22.0,0.005252973866814806,0.0003310093121554535,0.00025905076603470267,2.8783418448300304e-05,0.007901048364058433,0.0003166176029313033,0.0,0.0,9.715852989577618,-23.734200234774555,-35.08869272803699,-5.393617021276596,-13.50785123966942,-36.79003558718861,-27.89080459770115,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,-4.542063146047114,-3.8649438908040814,-4.206841611054112,-4.026129264969478,-2.102315279783201,-2.2795947597768182,1.3979400086720375,1.2552725051033058
Burkina Faso,BFA2020-08-31,BFA,20903278.0,70.15100000000001,17.6,0.0,53,-1,25,18,72.44,50.52895424836606,58.44,58.17052287581688,59.71359477124179,0.0,43.0,6.0,29.0,443.0,1.0,24.0,0.00020570936290470804,2.870363203321508e-05,0.0001387342214938729,4.783938672202514e-06,0.0021192848317857127,0.00011481452813286032,0.0,0.0,11.63679245283019,-16.16822371489878,-18.35185185185185,-17.005555555555556,-10.607407407407408,-28.825925925925933,-6.050377833753148,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,-5.075210380510292,-2.726850788809641,-5.290866801488444,-4.6752849152931155,-2.673810670207687,-3.68674594085117,1.9084850188786495,1.146128035678238
Burundi,BDI2020-08-31,BDI,11890781.0,423.062,17.5,0.0,13,0,81,14,33.33,26.477777777777792,19.33,26.869346405228754,31.294248366013075,0.0,40.0,1.0,0.0,15.0,0.0,1.0,0.00033639506101407467,8.409876525351869e-06,0.0,0.0,0.000126148147880278,8.409876525351869e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.522697006468065,0.3907368195396795,-2.1938006325585224,0,-3.6531448534400384,-3.363904097085942,-3.751056581916308,-4.162503674441608,-3.8991191214546106,-3.473150389182329,2.041392685158225,1.9912260756924949
Cameroon,CMR2020-08-31,CMR,26545864.0,50.885,18.8,0.0,31,-11,110,98,58.33,55.28006535947704,44.33,62.59137254901948,61.617777777777995,20.424836601307188,1119.0,59.0,95.0,650.0,0.0,9.0,0.004215345938636618,0.00022225684573687265,0.00035787119228818467,0.0,0.00244859236828758,3.390358663782803e-05,0.0005294431673344472,0.18616642300194933,9.480825958702065,-14.576934221007356,-19.66216216216216,-19.053627760252365,-9.502912621359224,-18.117449664429525,-6.548518896833505,-1.6903756929627685,-0.8857885595746424,-0.4007815841695692,0,-3.2304737424283063,-2.4373040521957305,-5.303439097082691,-4.042818932611653,-2.6110835084393265,-2.3751667785538326,1.7323937598229686,2.103803720955957
Canada,CAN2020-08-31,CAN,37742157.0,4.037,41.4,0.0,21,-45,54,127,74.68,71.89444444444429,60.68000000000001,69.35052287581686,71.3295424836602,75.0,2760.0,222.0,2.0,11.0,0.0,0.0,0.00731277759244126,0.0005882016759137535,5.299114197421202e-06,0.0,2.9145128085816608e-05,0.0,0.0,0.0,15.445482866043616,-21.66971928105649,-36.04826958105647,30.545964125560538,-10.596928982725528,-52.20803295571576,-40.04132901134522,0.5360628401141685,0.8698437173697267,-2.171041054046893,2,-3.267944163499044,-2.5440267621097927,-3.790443156541513,-4.406038664048214,-4.53543403172072,-2.135917634813727,2.0569048513364727,2.008600171761917
Cape Verde,CPV2020-08-31,CPV,555988.0,135.58,25.7,0.0,58,0,114,102,81.73,77.40013071895397,67.73,76.64091503267974,77.8363398692809,75.0,107.0,3.0,3.0,61.0,0.0,1.0,0.01924501967668367,0.0005395799909350561,0.0005395799909350561,0.0,0.010971459815679476,0.00017985999697835205,0.004843449858630043,0.05338225600461418,20.845070422535212,-53.586988044518826,-56.60797342192691,-55.691176470588225,-35.523012552301246,-75.21,-44.90277777777778,3.233261331882736,-0.002481419096782865,0.7815450759181474,2,-3.8388278700329503,-4.446970914812559,-4.878391286486831,-4.9441251368517065,-1.9597355832079395,-1.7156816405334967,1.8750612633917,1.9956351945975501
Central African Republic,CAF2020-08-31,CAF,4829764.0,7.479,18.3,0.0,43,-10,75,99,62.82,54.51313725490197,48.82,64.8572549019607,59.87980392156866,25.0,216.0,7.0,0.0,11.0,0.0,0.0,0.004472268210206544,0.00014493461792336023,0.0,0.0,0.00022775439959385176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2019378299076786,-1.0098448453851971,-0.3697011553146933,0,-4.2155280905121915,-2.534957069610448,-4.671559438075634,-4.3123115183181415,-3.6425332248889823,-2.3494721588962766,1.6901960800285136,1.6901960800285136
Chad,TCD2020-08-31,TCD,16425859.0,11.833,16.7,0.0,24,0,49,49,75.64,64.13928104575153,61.64,70.78549019607833,66.71019607843137,50.0,83.0,10.0,0.0,33.0,0.0,0.0,0.0005053008186664699,6.087961670680359e-05,0.0,0.0,0.00020090273513245183,0.0,3.4924606784136323e-06,0.001864260186215136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1109925031403822,-0.7867825154051342,-0.10128742097976216,0,-2.2573267827653587,-1.845538711069986,-5.730550536309769,-3.878008918058775,-3.697014150634303,-3.296449998136117,1.977723605288848,2.133538908370217
Chile,CHL2020-08-31,CHL,19116209.0,24.282,35.4,0.0,110,-11,95,136,86.22,77.60065359477122,72.22,80.18967320261423,80.76156862745087,60.2124183006536,36179.0,1057.0,373.0,3404.0,2.0,18.0,0.18925823629570068,0.005529339002309506,0.0019512236971253034,1.046232545375498e-05,0.017806877922290968,9.41609290837948e-05,0.0,0.0,21.244982698961934,-51.69464052287582,-60.14248366013072,-62.59934640522876,-39.378431372549024,-60.18366013071896,-36.16928104575163,4.794638673388183,0.23304331200240405,2.3307882356036487,2,-4.047568788602619,-2.7172824982292214,-4.837038088537013,-2.988211521076312,-1.7494122186602348,-0.7229452114319052,1.4623979978989559,2.0211892990699383
China,CHN2020-08-31,CHN,1439323774.0,147.674,38.7,0.0,127,-12,29,105,77.88,72.3137254901959,63.88,75.89483660130722,80.2822875816991,28.513071895424837,15141.0,1290.0,2590.0,14399.0,45.0,304.0,0.001051952331609302,8.962542155577569e-05,0.00017994561382128605,3.1264681938061286e-06,0.0010004003449469877,2.112102957593473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,-3.1045117274639216,-3.365760318779332,-4.1339045517056485,-3.5383864947571,-2.9998261671928863,-2.97800393944852,2.214843848047698,2.227886704613673
Colombia,COL2020-08-31,COL,50882884.0,44.223,32.2,13254.948999999999,49,-2,164,169,87.18,84.49751633986952,73.18,87.15411764705914,86.39509803921581,74.01960784313725,13056.0,400.0,79.0,1485.0,3.0,35.0,0.025658922949414586,0.0007861189629109858,0.00015525849517491973,5.895892221832396e-06,0.002918466649807035,6.878540925471127e-05,0.0,0.0,22.396500213401623,-54.65943460546902,-64.51983218916857,-55.784497740702115,-44.934600760456284,-64.8840830449827,-43.1741592920354,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,-3.537668954291747,-4.779572738935305,-3.79655768262357,-4.6510908974684835,-2.5348452651386526,-1.5907615773820976,2.0827853703164503,2.187520720836463
Congo,COG2020-08-31,COG,5518092.0,15.405,19.0,0.0,12,-3,121,154,85.26,72.7302614379085,71.26,79.12758169934641,72.31424836601296,75.0,275.0,16.0,4.0,74.0,0.0,5.0,0.004983606652444361,0.00028995529614221735,7.248882403555435e-05,0.0,0.0013410432446577547,9.061103004444289e-05,0.0002899083126451572,0.02003492713562158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2824485467823608,-1.492596813265027,0.8293291867616491,0,-3.4517961546088904,-3.698047050531241,-5.508303264584656,-3.0468404305893224,-2.872557217216696,-2.3024562431174087,2.24551266781415,2.187520720836463
Costa Rica,CRI2020-08-31,CRI,5094114.0,96.079,33.6,0.0,51,0,176,154,74.36,66.30222222222226,60.36,72.09477124183003,69.50222222222237,48.692810457516345,1214.0,18.0,19.0,454.0,0.0,2.0,0.02383142583774136,0.0003533489827671701,0.0003729794818097907,0.0,0.008912246565349734,3.926099808524112e-05,0.0,0.0,17.511111111111113,-40.77333333333333,-46.18888888888889,-50.27777777777778,-25.7,-49.34444444444443,-32.355555555555554,2.0655792991323336,-1.016055296817025,-0.17772477419978602,2,-4.8191864002434075,-2.309806666040221,-4.003671919165163,-3.693727828061384,-2.050012806855092,-1.6228499729729573,1.9912260756924949,1.968482948553935
Cote d'Ivoire,CIV2020-08-31,CIV,26378275.0,76.399,18.7,0.0,15,-4,98,93,68.59,57.649411764705896,54.59,58.36215686274507,59.752745098039156,46.07843137254902,618.0,4.0,36.0,480.0,0.0,3.0,0.002342837050565285,1.5163993854791488e-05,0.00013647594469312342,0.0,0.001819679262574979,1.1372995391093615e-05,8.765954909135234e-06,0.002899331275720165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.15680925824132,-0.7656960250185324,-0.4382653109070821,0,-3.710251526990179,-5.759530295064829,-5.090029356027041,-3.3277756570940467,-2.740005154195781,-2.6302579164825532,2.3138672203691533,1.7323937598229686
Croatia,HRV2020-08-31,HRV,4105268.0,73.726,44.0,0.0,59,23,206,54,92.95,64.30294117647064,78.95,52.329999999999856,59.374705882352934,91.42156862745098,358.0,8.0,77.0,495.0,1.0,2.0,0.008720502534791879,0.00019487156502328234,0.0018756388133490925,2.4358945627910292e-05,0.012057678085815593,4.8717891255820584e-05,1.5927002910556726e-05,0.001028500074628457,10.269509251810137,-25.255938919427862,-37.209467455621294,-1.2943770672546857,-17.481166464155525,-40.543245175125094,-29.751438434982727,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,-4.275948926730813,-4.743566046900479,-3.265397941326418,-3.4541822215618696,-1.918736315048554,-2.0594584873382487,2.1818435879447726,1.6434526764861874
Cuba,CUB2020-08-31,CUB,11326616.0,110.408,43.1,0.0,60,0,152,44,87.18,72.98771241830076,73.18,78.88986928104566,77.3631372549021,48.937908496732035,93.0,6.0,49.0,564.0,0.0,15.0,0.0008210748912119912,5.297257362658008e-05,0.0004326093512837374,0.0,0.004979421920898528,0.0001324314340664502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3633681946278737,-0.7723237053708364,1.2056627608133503,0,-3.4653327757959738,-3.870350834606594,-4.683248190730276,-5.708991664649598,-2.3028210731311143,-3.085617228560521,1.3617278360175928,1.1760912590556811
