,country,PC 1,PC 2,PC 3,Class,logInterval_firstNCToMaxNC,logInterval_firstNCToMaxND
0,Afghanistan,-0.5609734034937395,-1.4701307355379705,-0.5509389754816235,0,1.8808135922807914,2.123851640967086
1,Albania,-2.1604380437796387,-0.7376008796839183,1.6667700093626439,0,2.2278867046136734,2.143014800254095
2,Algeria,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,2.130333768495006,1.5797835966168101
3,Angola,1.2708497603142366,-1.549488608072369,-0.8902293921814698,2,2.130333768495006,2.113943352306837
4,Argentina,3.628440926180756,-1.644506174523379,0.5469559700137794,2,2.2528530309798933,2.2430380486862944
5,Aruba,2.7842399284444297,3.7717909514252996,2.2876117361546795,1,2.187520720836463,1.5314789170422551
6,Australia,-0.5870548745725356,-1.858924218797516,1.9246347159400503,0,2.27415784926368,2.3138672203691533
7,Austria,0.7478701204491637,5.196398043970164,0.5766124905593566,1,1.4913616938342726,1.7558748556724915
8,Azerbaijan,-1.9766007038822448,-2.0314792174060265,2.2726796031016843,0,2.0718820073061255,2.1583624920952498
9,Bahrain,0.681571372151653,0.09795141722695724,2.204764854592013,2,2.0969100130080562,2.093421685162235
10,Bangladesh,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,2.0827853703164503,2.0569048513364727
11,Barbados,2.985760806889591,1.3321767902360373,-0.7259089774944522,2,2.1367205671564067,1.2787536009528289
12,Belarus,-3.683599926479808,1.8948957192728733,-3.968724755620774,0,1.3222192947339193,2.173186268412274
13,Belgium,1.7334648970546325,1.2349374630696803,-1.3371140980548084,2,1.6532125137753437,1.8129133566428555
14,Belize,2.445660889828365,-0.9167178734703622,-0.16600893953159535,2,2.2013971243204513,2.187520720836463
15,Benin,-2.1959143553996987,-0.7596766854802521,-0.7231032287793601,0,2.089905111439398,2.0211892990699383
17,Bolivia,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,2.1958996524092336,2.1958996524092336
18,Bosnia and Herzegovina,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,2.167317334748176,2.167317334748176
19,Botswana,1.2435675002813416,-0.5243907843447864,-1.276573858740372,2,2.164352855784437,2.1702617153949575
20,Brazil,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,2.146128035678238,2.1903316981702914
21,Brunei,-3.7974700497328566,0.9316513206016092,-0.94132742107647,0,0.47712125471966244,1.2787536009528289
22,Bulgaria,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,2.2355284469075487,2.2355284469075487
23,Burkina Faso,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,1.3979400086720377,1.255272505103306
24,Burundi,-4.522697006468065,0.3907368195396795,-2.1938006325585224,0,1.9084850188786497,1.146128035678238
25,Cameroon,-1.6903756929627685,-0.8857885595746424,-0.4007815841695692,0,2.041392685158225,1.9912260756924949
26,Canada,0.5360628401141685,0.8698437173697267,-2.171041054046893,2,1.7323937598229686,2.103803720955957
27,Cape Verde,3.233261331882736,-0.002481419096782865,0.7815450759181474,2,2.0569048513364727,2.0086001717619175
28,Central African Republic,-3.2019378299076786,-1.0098448453851971,-0.3697011553146933,0,1.8750612633917,1.99563519459755
29,Chad,-3.1109925031403822,-0.7867825154051342,-0.10128742097976216,0,1.6901960800285136,1.6901960800285136
30,Chile,4.794638673388183,0.23304331200240405,2.3307882356036487,2,1.9777236052888478,2.1335389083702174
