location,primary_key_reaction,iso_code,minDate,maxDate,maxValue,changeGovResp,ramp_up_duration,population,population_density,median_age,newCases_startDate,CaseVsResp_Interval,AvgMaxGovResp_StartApr1,MaxNewCases_date,MaxNewCases_value,StartToMaxNewCases_Interval,MaxNewDeaths_date,MaxNewDeaths_value,MaxNewCasesToMaxNewDeaths_Interval,FirstNewCaseToMaxNewDeaths,3mth_date,newCases_3mnth,totCases_3mnth,newDeaths_3mnth,totDeaths_3mnth,gdp_per_capita,StringencyIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,avgOutdoorMobil
El Salvador,SLV2020-08-31,SLV,2020-03-19,2020-05-15,92.31,78.31,57 days 00:00:00.000000000,6486201.0,307.811,27.6,2020-03-19,0 days 00:00:00.000000000,84.83098039215693,2020-08-22,456.0,156 days 00:00:00.000000000,2020-08-06,27.0,-16 days +00:00:00.000000000,140 days 00:00:00.000000000,2020-04-18,13.0,177.0,1.0,7.0,7292.4580000000005,92.58450980392135,87.62490196078461,69.44444444444444,-68.70242537313433,-51.494055482166445,-59.306666666666665,-67.81004901960785,-52.71925925925926,30.070103092783505,-60.00649116016691
Eritrea,ERI2020-08-31,ERI,2020-03-22,2020-04-01,75.0,61.0,10 days 00:00:00.000000000,3546427.0,44.304,19.3,2020-03-22,0 days 00:00:00.000000000,75.0,2020-06-15,31.0,85 days 00:00:00.000000000,2020-03-22,0.0,-85 days +00:00:00.000000000,0 days 00:00:00.000000000,2020-04-21,0.0,39.0,0.0,0.0,,93.52000000000031,84.09000000000009,25.0,,,,,,,
Estonia,EST2020-08-31,EST,2020-03-12,2020-04-27,64.74,50.739999999999995,46 days 00:00:00.000000000,1326539.0,31.033,42.7,2020-02-28,-13 days +00:00:00.000000000,41.61228758169931,2020-03-27,134.0,15 days 00:00:00.000000000,2020-04-03,6.0,7 days 00:00:00.000000000,35 days 00:00:00.000000000,2020-03-29,65.0,640.0,0.0,1.0,,42.70006535947708,40.85967320261438,45.7516339869281,-34.10960757780785,-9.773778920308484,27.584415584415584,-25.984251968503937,-34.37522123893805,11.413612565445026,-15.331688824228547
Ethiopia,ETH2020-08-31,ETH,2020-03-16,2020-08-12,73.08,59.08,149 days 00:00:00.000000000,114963583.0,104.957,19.8,2020-03-14,-2 days +00:00:00.000000000,66.32156862745093,2020-08-22,1829.0,159 days 00:00:00.000000000,2020-08-04,52.0,-18 days +00:00:00.000000000,143 days 00:00:00.000000000,2020-04-13,2.0,71.0,0.0,3.0,1729.9270000000001,78.02862745098065,72.372745098039,33.00653594771242,,,,,,,
Fiji,FJI2020-08-31,FJI,2020-03-11,2020-04-17,88.46,74.46,37 days 00:00:00.000000000,896444.0,49.562,28.6,2020-03-20,9 days 00:00:00.000000000,74.59823529411774,2020-04-04,5.0,24 days 00:00:00.000000000,2020-08-01,1.0,119 days 00:00:00.000000000,134 days 00:00:00.000000000,2020-04-19,0.0,17.0,0.0,0.0,,69.25150326797382,74.52692810457519,75.0,-24.755555555555556,-14.28888888888889,-13.766666666666667,-34.2,-16.455555555555556,13.411111111111111,-20.693333333333335
Finland,FIN2020-08-31,FIN,2020-02-27,2020-03-28,55.77,41.77,30 days 00:00:00.000000000,5540718.0,18.136,42.8,2020-01-30,-28 days +00:00:00.000000000,48.27215686274511,2020-04-05,267.0,38 days 00:00:00.000000000,2020-04-22,43.0,17 days 00:00:00.000000000,83 days 00:00:00.000000000,2020-02-29,1.0,3.0,0.0,0.0,,44.857189542483674,45.34751633986931,64.37908496732027,-31.16382853787434,-6.532748538011696,50.017175572519086,-39.952168367346935,-30.34561403508772,9.172990353697749,-11.595436781160322
France,FRA2020-08-31,FRA,2020-02-25,2020-03-17,82.69,68.69,21 days 00:00:00.000000000,65273512.0,122.578,42.0,2020-01-25,-31 days +00:00:00.000000000,68.66176470588225,2020-04-01,7578.0,36 days 00:00:00.000000000,2020-04-04,2004.0,3 days 00:00:00.000000000,70 days 00:00:00.000000000,2020-02-24,0.0,12.0,0.0,1.0,,64.41450980392182,65.87679738562099,83.98692810457516,-58.63333333333333,-26.225396825396825,-34.58095238095238,-57.05396825396826,-45.233333333333334,19.39792663476874,-44.345396825396826
Gabon,GAB2020-08-31,GAB,2020-03-13,2020-04-24,85.26,71.26,42 days 00:00:00.000000000,2225728.0,7.859,23.1,2020-03-13,0 days 00:00:00.000000000,77.87790849673195,2020-06-16,570.0,95 days 00:00:00.000000000,2020-06-23,5.0,7 days 00:00:00.000000000,102 days 00:00:00.000000000,2020-04-12,3.0,49.0,0.0,1.0,,72.07222222222235,76.69392156862739,84.39542483660131,-31.933333333333334,-21.156133828996282,-18.802083333333332,-41.93333333333333,-20.940119760479043,19.994444444444444,-26.95300071789506
Gambia,GMB2020-08-31,GMB,2020-03-18,2020-08-06,66.67,52.67,141 days 00:00:00.000000000,2416664.0,207.566,17.5,2020-03-18,0 days 00:00:00.000000000,60.49052287581704,2020-08-20,416.0,155 days 00:00:00.000000000,2020-08-20,14.0,0 days 00:00:00.000000000,155 days 00:00:00.000000000,2020-04-17,0.0,9.0,0.0,1.0,,71.36130718954256,71.49058823529434,0.0,,,,,,,
Georgia,GEO2020-08-31,GEO,2020-02-26,2020-04-24,87.82,73.82,58 days 00:00:00.000000000,3989175.0,65.032,38.7,2020-02-27,1 days 00:00:00.000000000,68.79254901960806,2020-05-02,43.0,66 days 00:00:00.000000000,2020-04-06,2.0,-26 days +00:00:00.000000000,39 days 00:00:00.000000000,2020-03-28,2.0,81.0,0.0,0.0,,73.76647058823545,75.50477124182994,31.862745098039216,-49.5,-26.79268292682927,-17.170731707317074,-43.48780487804878,-42.31707317073171,14.426829268292684,-35.853658536585364
Germany,DEU2020-08-31,DEU,2020-01-27,2020-04-29,74.36,60.36,93 days 00:00:00.000000000,83783945.0,237.016,46.6,2020-01-28,1 days 00:00:00.000000000,64.4227450980392,2020-03-28,6294.0,61 days 00:00:00.000000000,2020-04-16,315.0,19 days 00:00:00.000000000,79 days 00:00:00.000000000,2020-02-27,4.0,21.0,0.0,0.0,,63.27307189542493,66.61516339869286,52.36928104575163,-30.352941176470587,-5.585106382978723,23.419117647058822,-30.201797385620914,-23.12173202614379,8.543300653594772,-13.168491864831037
Ghana,GHA2020-08-31,GHA,2020-03-15,2020-04-09,82.69,68.69,25 days 00:00:00.000000000,31072945.0,126.719,21.1,2020-03-13,-2 days +00:00:00.000000000,60.94359477124193,2020-08-02,1513.0,140 days 00:00:00.000000000,2020-06-21,15.0,-42 days +00:00:00.000000000,100 days 00:00:00.000000000,2020-04-12,30.0,408.0,2.0,8.0,4227.63,59.63581699346396,66.9718300653596,27.777777777777782,-28.4,-16.72222222222222,-20.877777777777776,-31.566666666666666,-19.355555555555554,16.22222222222222,-23.384444444444444
Greece,GRC2020-08-31,GRC,2020-03-05,2020-04-08,71.15,57.150000000000006,34 days 00:00:00.000000000,10423056.0,83.479,45.3,2020-02-27,-7 days +00:00:00.000000000,63.023856209150296,2020-08-27,293.0,175 days 00:00:00.000000000,2020-04-05,9.0,-144 days +00:00:00.000000000,38 days 00:00:00.000000000,2020-03-28,74.0,966.0,2.0,28.0,,61.64816993464057,63.19326797385625,62.09150326797386,-51.356944444444444,-1.0848400556328233,0.9680555555555556,-44.477777777777774,-35.12916666666667,13.922222222222222,-26.216134677793228
Guam,GUM2020-08-31,GUM,2020-03-19,2020-08-20,72.44,58.44,154 days 00:00:00.000000000,168783.0,304.128,31.4,2020-03-19,0 days 00:00:00.000000000,60.75575163398697,2020-08-27,136.0,161 days 00:00:00.000000000,2020-04-01,2.0,-148 days +00:00:00.000000000,13 days 00:00:00.000000000,2020-04-18,1.0,136.0,0.0,5.0,,66.20078431372556,69.42150326797376,13.0718954248366,,,,,,,
Guatemala,GTM2020-08-31,GTM,2020-03-15,2020-04-21,83.33,69.33,37 days 00:00:00.000000000,17915567.0,157.834,22.9,2020-03-15,0 days 00:00:00.000000000,79.82385620915029,2020-07-19,4233.0,126 days 00:00:00.000000000,2020-07-30,74.0,11 days 00:00:00.000000000,137 days 00:00:00.000000000,2020-04-14,11.0,167.0,0.0,5.0,,93.81228758169948,82.81424836601332,63.398692810457526,-53.775245986535474,-40.97232037691402,-45.928985507246374,-62.45432692307692,-37.08357487922705,20.983333333333334,-48.04289073459997
Guinea,GIN2020-08-31,GIN,2020-03-14,2020-03-30,63.46,49.46,16 days 00:00:00.000000000,13132792.0,51.755,19.0,2020-03-14,0 days 00:00:00.000000000,58.32856209150334,2020-05-22,204.0,69 days 00:00:00.000000000,2020-05-14,3.0,-8 days +00:00:00.000000000,61 days 00:00:00.000000000,2020-04-13,0.0,250.0,0.0,0.0,,71.29084967320252,68.93653594771239,0.0,,,,,,,
Guyana,GUY2020-08-31,GUY,2020-03-13,2020-04-09,74.36,60.36,27 days 00:00:00.000000000,786559.0,3.952,26.3,2020-03-13,0 days 00:00:00.000000000,71.09679738562085,2020-08-26,105.0,166 days 00:00:00.000000000,2020-08-29,3.0,3 days 00:00:00.000000000,169 days 00:00:00.000000000,2020-04-12,5.0,45.0,0.0,6.0,,81.16464052287574,78.52627450980376,30.22875816993464,,,,,,,
Haiti,HTI2020-08-31,HTI,2020-03-20,2020-06-02,65.38,51.379999999999995,74 days 00:00:00.000000000,11402533.0,398.448,24.3,2020-03-20,0 days 00:00:00.000000000,52.9324183006536,2020-06-06,284.0,78 days 00:00:00.000000000,2020-07-11,12.0,35 days 00:00:00.000000000,113 days 00:00:00.000000000,2020-04-19,0.0,44.0,0.0,3.0,,62.36784313725492,56.76241830065363,31.862745098039216,-32.73888888888889,-27.633333333333333,-16.513333333333332,-47.70142180094787,-24.134952766531715,10.122222222222222,-29.74438602460703
Honduras,HND2020-08-31,HND,2020-03-12,2020-04-03,89.1,75.1,22 days 00:00:00.000000000,9904608.0,82.805,24.9,2020-03-12,0 days 00:00:00.000000000,86.68450980392187,2020-08-27,1170.0,168 days 00:00:00.000000000,2020-08-27,64.0,0 days 00:00:00.000000000,168 days 00:00:00.000000000,2020-04-11,10.0,392.0,1.0,24.0,,96.7640522875814,86.74163398692825,86.3562091503268,-65.7366482504604,-48.05864197530864,-47.610724233983284,-68.17823129251701,-44.01052631578948,22.970588235294116,-54.71895441361177
Hong Kong,HKG2020-08-11,HKG,2020-01-31,2020-08-07,76.92,62.92,189 days 00:00:00.000000000,7496988.0,7039.714,44.8,2020-03-12,41 days 00:00:00.000000000,73.41799999999998,2020-01-31,0.0,0 days 00:00:00.000000000,2020-01-31,0.0,0 days 00:00:00.000000000,-41 days +00:00:00.000000000,2020-04-11,0.0,0.0,0.0,0.0,,64.07733333333333,68.58800000000001,100.0,-24.776315789473685,-4.776315789473684,-15.092105263157896,-31.592105263157894,-18.210526315789473,14.368421052631579,-18.889473684210525
Hungary,HUN2020-08-31,HUN,2020-03-04,2020-04-16,76.92,62.92,43 days 00:00:00.000000000,9660350.0,108.043,43.4,2020-03-05,1 days 00:00:00.000000000,64.52745098039233,2020-08-31,292.0,180 days 00:00:00.000000000,2020-04-24,25.0,-129 days +00:00:00.000000000,50 days 00:00:00.000000000,2020-04-04,55.0,678.0,6.0,32.0,,60.52300653594759,61.640588235294246,80.3921568627451,-26.197872340425533,-12.123280423280423,18.322044728434506,-28.31005291005291,-29.537037037037038,11.14317302377004,-15.569239596472277
Iceland,ISL2020-08-31,ISL,2020-03-09,2020-03-21,67.95,53.95,12 days 00:00:00.000000000,341250.0,3.404,37.3,2020-02-29,-9 days +00:00:00.000000000,59.322875816993616,2020-04-03,99.0,25 days 00:00:00.000000000,2020-04-03,2.0,0 days 00:00:00.000000000,34 days 00:00:00.000000000,2020-03-30,57.0,1020.0,0.0,2.0,,41.24058823529422,51.92529411764703,100.0,,,,,,,
India,IND2020-08-31,IND,2020-01-31,2020-04-09,96.15,82.15,69 days 00:00:00.000000000,1380004385.0,450.419,28.2,2020-01-30,-1 days +00:00:00.000000000,82.67019607843119,2020-08-30,78761.0,212 days 00:00:00.000000000,2020-06-17,2003.0,-74 days +00:00:00.000000000,139 days 00:00:00.000000000,2020-02-29,0.0,3.0,0.0,0.0,6426.674,82.60431372549017,84.06300653594768,75.0,-37.93567251461988,-25.402307406029028,-20.424144144144144,-28.571954361428045,-24.083926031294453,13.603982300884956,-27.283600891503113
Indonesia,IDN2020-08-31,IDN,2020-02-03,2020-04-24,65.71,51.709999999999994,81 days 00:00:00.000000000,273523621.0,145.725,29.3,2020-03-02,28 days 00:00:00.000000000,55.82320261437913,2020-08-30,3308.0,209 days 00:00:00.000000000,2020-07-23,139.0,-38 days +00:00:00.000000000,143 days 00:00:00.000000000,2020-04-01,114.0,1528.0,14.0,136.0,11188.743999999999,65.81718954248365,61.425751633987005,25.0,-21.567811934900543,-11.090415913200724,-19.95985533453888,-29.39314369073669,-14.568173598553345,8.560940325497288,-19.31588009438604
Iran,IRN2020-08-31,IRN,2020-02-26,2020-07-13,66.99,52.989999999999995,138 days 00:00:00.000000000,83992953.0,49.831,32.4,2020-02-20,-6 days +00:00:00.000000000,56.50333333333332,2020-04-05,5275.0,39 days 00:00:00.000000000,2020-08-08,316.0,125 days 00:00:00.000000000,170 days 00:00:00.000000000,2020-03-21,1237.0,19644.0,149.0,1433.0,,54.883398692810495,55.50169934640535,62.00980392156863,,,,,,,
Iraq,IRQ2020-08-31,IRQ,2020-02-24,2020-05-26,80.77,66.77,92 days 00:00:00.000000000,40222503.0,88.125,20.0,2020-02-25,1 days 00:00:00.000000000,77.43084967320287,2020-08-19,4576.0,177 days 00:00:00.000000000,2020-06-27,122.0,-53 days +00:00:00.000000000,123 days 00:00:00.000000000,2020-03-26,30.0,346.0,2.0,29.0,,91.10960784313733,85.14725490196093,34.967320261437905,-36.27777777777778,-14.844444444444445,-24.211111111111112,-33.333333333333336,-25.433333333333334,12.866666666666667,-26.82
Ireland,IRL2020-08-31,IRL,2020-02-29,2020-04-06,84.62,70.62,37 days 00:00:00.000000000,4937796.0,69.874,38.7,2020-03-01,1 days 00:00:00.000000000,73.01098039215674,2020-04-10,1169.0,41 days 00:00:00.000000000,2020-04-26,234.0,16 days 00:00:00.000000000,56 days 00:00:00.000000000,2020-03-31,295.0,2910.0,8.0,54.0,,68.72339869281039,68.10372549019618,100.0,-55.70359151882302,-10.756700167504187,-17.746794871794872,-41.87367303609342,-44.05564715581204,19.26,-34.02728135000551
Israel,ISR2020-08-31,ISR,2020-02-09,2020-04-08,91.03,77.03,59 days 00:00:00.000000000,8655541.0,402.606,30.6,2020-02-22,13 days 00:00:00.000000000,71.22052287581715,2020-07-28,2502.0,170 days 00:00:00.000000000,2020-08-20,71.0,23 days 00:00:00.000000000,180 days 00:00:00.000000000,2020-03-23,188.0,1071.0,0.0,1.0,,68.59705882352944,65.98816993464051,100.0,-45.65714285714286,-11.465346534653465,-22.87457627118644,-36.115966386554625,-36.23529411764706,16.59495798319328,-30.46966523343689
Italy,ITA2020-08-31,ITA,2020-01-31,2020-04-12,85.26,71.26,72 days 00:00:00.000000000,60461828.0,205.859,47.9,2020-01-31,0 days 00:00:00.000000000,66.93000000000004,2020-03-22,6557.0,51 days 00:00:00.000000000,2020-03-28,971.0,6 days 00:00:00.000000000,57 days 00:00:00.000000000,2020-03-01,240.0,1128.0,8.0,29.0,,63.74444444444442,67.30725490196076,64.86928104575163,-57.68483709273183,-31.438871473354233,-48.96491228070175,-54.74561403508772,-43.81704260651629,19.92703045685279,-47.330255497678365
Jamaica,JAM2020-08-31,JAM,2020-03-12,2020-04-22,74.36,60.36,41 days 00:00:00.000000000,2961161.0,266.879,31.4,2020-03-12,0 days 00:00:00.000000000,65.50058823529423,2020-08-31,244.0,172 days 00:00:00.000000000,2020-08-26,3.0,-5 days +00:00:00.000000000,167 days 00:00:00.000000000,2020-04-11,2.0,65.0,0.0,4.0,,74.53326797385637,68.5594117647057,48.692810457516345,-43.45676004872107,-29.29027962716378,-43.9281210592686,-51.808905380333954,-35.665910808767954,19.757869249394673,-40.829995384851074
Japan,JPN2020-08-31,JPN,2020-02-04,2020-04-16,50.64,36.64,72 days 00:00:00.000000000,126476458.0,347.778,48.2,2020-01-15,-20 days +00:00:00.000000000,42.56333333333336,2020-08-15,2064.0,193 days 00:00:00.000000000,2020-04-23,101.0,-114 days +00:00:00.000000000,99 days 00:00:00.000000000,2020-02-14,1.0,30.0,0.0,1.0,,34.089150326797466,37.11143790849674,72.54901960784314,-11.586458333333333,1.8075520833333334,2.7046875,-25.301041666666666,-10.51015625,6.40078125,-8.577083333333333
Jordan,JOR2020-08-31,JOR,2020-03-15,2020-03-29,83.97,69.97,14 days 00:00:00.000000000,10203140.0,109.285,23.2,2020-03-03,-12 days +00:00:00.000000000,62.27934640522885,2020-08-26,77.0,164 days 00:00:00.000000000,2020-03-31,4.0,-148 days +00:00:00.000000000,28 days 00:00:00.000000000,2020-04-02,4.0,278.0,0.0,5.0,,66.95810457516315,66.78450980392161,37.5,-46.01578947368421,-30.64749082007344,-48.10445682451253,-78.2482269503546,-40.023356401384085,17.767184035476717,-48.607864094001776
Kazakhstan,KAZ2020-08-31,KAZ,2020-03-13,2020-05-01,83.01,69.01,49 days 00:00:00.000000000,18776707.0,6.681,30.6,2020-03-15,2 days 00:00:00.000000000,76.32549019607858,2020-07-01,19246.0,110 days 00:00:00.000000000,2020-08-10,324.0,40 days 00:00:00.000000000,148 days 00:00:00.000000000,2020-04-14,218.0,1179.0,4.0,14.0,24055.588,81.14418300653601,83.38542483660126,37.5,-35.82222222222222,-19.77777777777778,-6.322222222222222,-22.3,-35.2,10.644444444444444,-23.884444444444448
Kenya,KEN2020-08-31,KEN,2020-03-13,2020-05-04,80.77,66.77,52 days 00:00:00.000000000,53771300.0,87.324,20.0,2020-03-14,1 days 00:00:00.000000000,76.41928104575189,2020-07-27,960.0,136 days 00:00:00.000000000,2020-08-02,23.0,6 days 00:00:00.000000000,141 days 00:00:00.000000000,2020-04-13,6.0,197.0,1.0,8.0,2993.028,83.51535947712433,81.22228758169923,50.0,-25.966686496133253,-19.638425617078052,-18.238661710037174,-28.686062881276396,-18.65611421477343,19.00239520958084,-22.23719018385966
Kuwait,KWT2020-08-31,KWT,2020-03-01,2020-05-10,87.82,73.82,70 days 00:00:00.000000000,4270563.0,232.128,33.7,2020-02-24,-6 days +00:00:00.000000000,75.73751633986953,2020-05-20,1073.0,80 days 00:00:00.000000000,2020-05-17,11.0,-3 days +00:00:00.000000000,83 days 00:00:00.000000000,2020-03-25,2.0,191.0,0.0,0.0,,83.8549673202615,83.75915032679734,31.617647058823533,-58.94603174603174,-39.88095238095238,-51.38095238095238,-45.73809523809524,-46.317460317460316,25.126475548060707,-48.45269841269841
Kyrgyzstan,KGZ2020-08-31,KGZ,2020-03-19,2020-04-10,77.88,63.879999999999995,22 days 00:00:00.000000000,6524191.0,32.333,26.3,2020-03-19,0 days 00:00:00.000000000,70.8410457516339,2020-07-18,11505.0,121 days 00:00:00.000000000,2020-07-18,728.0,0 days 00:00:00.000000000,121 days 00:00:00.000000000,2020-04-18,17.0,506.0,0.0,5.0,,80.78339869281042,74.898954248366,48.529411764705884,-40.09630818619583,-36.21111111111111,-11.26984126984127,-48.08193668528864,-31.95277777777778,10.07816091954023,-33.52239500604293
Laos,LAO2020-08-31,LAO,2020-03-25,2020-05-01,86.54,72.54,37 days 00:00:00.000000000,7275556.0,29.715,24.4,2020-03-25,0 days 00:00:00.000000000,50.8161437908496,2020-03-27,4.0,2 days 00:00:00.000000000,2020-03-25,0.0,-2 days +00:00:00.000000000,0 days 00:00:00.000000000,2020-04-24,0.0,19.0,0.0,0.0,,49.05692810457518,51.96228758169942,44.52614379084967,-32.96666666666667,-17.844444444444445,-11.222222222222221,-42.833333333333336,-17.244444444444444,9.044444444444444,-24.422222222222224
Latvia,LVA2020-08-31,LVA,2020-03-12,2020-03-27,65.38,51.379999999999995,15 days 00:00:00.000000000,1886202.0,31.212,43.9,2020-03-03,-9 days +00:00:00.000000000,57.94803921568626,2020-03-30,71.0,18 days 00:00:00.000000000,2020-04-22,4.0,23 days 00:00:00.000000000,50 days 00:00:00.000000000,2020-04-02,48.0,446.0,0.0,0.0,,53.39718954248374,57.431437908497,60.784313725490186,-24.53926282051282,-8.871446229913474,8.161290322580646,-37.26223776223776,-35.82436260623229,8.738181818181818,-19.66720381926314
Lebanon,LBN2020-08-31,LBN,2020-02-28,2020-04-08,69.23,55.230000000000004,40 days 00:00:00.000000000,6825442.0,594.561,31.1,2020-02-22,-6 days +00:00:00.000000000,59.67784313725504,2020-08-20,1010.0,174 days 00:00:00.000000000,2020-08-26,12.0,6 days 00:00:00.000000000,186 days 00:00:00.000000000,2020-03-23,18.0,248.0,0.0,4.0,,69.34150326797385,66.19071895424834,23.8562091503268,-38.90922401171303,-13.192151556156968,-22.057010785824346,-63.44660194174757,-34.99629629629629,11.51764705882353,-34.52025691834764
Lesotho,LSO2020-08-31,LSO,2020-05-15,2020-07-19,63.46,49.46,65 days 00:00:00.000000000,2142252.0,73.562,22.2,2020-05-15,0 days 00:00:00.000000000,58.41403669724772,2020-08-02,98.0,79 days 00:00:00.000000000,2020-08-03,5.0,1 days 00:00:00.000000000,80 days 00:00:00.000000000,2020-06-14,0.0,4.0,0.0,0.0,,64.01027522935789,59.94431192660544,50.0,,,,,,,
Liberia,LBR2020-08-31,LBR,2020-03-17,2020-04-12,67.31,53.31,26 days 00:00:00.000000000,5057677.0,49.127,19.2,2020-03-17,0 days 00:00:00.000000000,60.52209150326785,2020-06-28,45.0,103 days 00:00:00.000000000,2020-07-16,15.0,18 days 00:00:00.000000000,121 days 00:00:00.000000000,2020-04-16,0.0,59.0,0.0,6.0,,78.15797385620922,71.52660130718931,0.0,,,,,,,
Libya,LBY2020-08-31,LBY,2020-03-25,2020-04-17,75.64,61.64,23 days 00:00:00.000000000,6871287.0,3.623,29.0,2020-03-25,0 days 00:00:00.000000000,71.37640522875797,2020-08-18,841.0,146 days 00:00:00.000000000,2020-08-04,13.0,-14 days +00:00:00.000000000,132 days 00:00:00.000000000,2020-04-24,1.0,60.0,1.0,2.0,,93.83895424836584,84.35287581699322,0.0,-25.264623955431755,-7.281481481481482,-10.266666666666667,-48.46590909090909,-16.70904925544101,12.017316017316018,-21.597546089986004
Lithuania,LTU2020-08-31,LTU,2020-03-12,2020-04-10,84.62,70.62,29 days 00:00:00.000000000,2722291.0,45.135,43.5,2020-02-28,-13 days +00:00:00.000000000,57.91470588235293,2020-04-04,122.0,23 days 00:00:00.000000000,2020-04-12,6.0,8 days 00:00:00.000000000,44 days 00:00:00.000000000,2020-03-29,36.0,394.0,2.0,7.0,,49.341307189542434,55.164117647058774,73.03921568627452,-39.98985801217039,-5.020742358078603,47.702005730659025,-31.112021857923498,-30.927272727272726,10.978234582829504,-11.869577844957238
Luxembourg,LUX2020-08-31,LUX,2020-03-05,2020-03-17,80.77,66.77,12 days 00:00:00.000000000,625976.0,231.447,39.7,2020-03-01,-4 days +00:00:00.000000000,59.708039215686206,2020-03-26,234.0,21 days 00:00:00.000000000,2020-04-12,8.0,17 days 00:00:00.000000000,42 days 00:00:00.000000000,2020-03-31,38.0,1988.0,1.0,22.0,,44.13522875816996,52.70777777777778,98.20261437908495,-60.833333333333336,-28.31111111111111,-5.066666666666666,-52.12222222222222,-51.333333333333336,22.0,-39.53333333333333
Madagascar,MDG2020-08-31,MDG,2020-03-21,2020-04-05,72.44,58.44,15 days 00:00:00.000000000,27691019.0,43.951,19.6,2020-03-21,0 days 00:00:00.000000000,61.03941176470582,2020-07-23,614.0,124 days 00:00:00.000000000,2020-07-17,10.0,-6 days +00:00:00.000000000,118 days 00:00:00.000000000,2020-04-20,4.0,121.0,0.0,0.0,,72.08215686274498,66.55411764705887,30.718954248366014,,,,,,,
Malawi,MWI2020-08-31,MWI,2020-04-03,2020-08-08,67.31,53.31,127 days 00:00:00.000000000,19129955.0,197.519,18.1,2020-04-03,0 days 00:00:00.000000000,63.756490066225155,2020-07-12,192.0,100 days 00:00:00.000000000,2020-07-27,12.0,15 days 00:00:00.000000000,115 days 00:00:00.000000000,2020-05-03,1.0,38.0,0.0,3.0,,57.45880794701978,59.04947019867559,89.6523178807947,,,,,,,
Malaysia,MYS2020-08-31,MYS,2020-01-24,2020-05-23,78.85,64.85,120 days 00:00:00.000000000,32365998.0,96.254,29.9,2020-01-25,1 days 00:00:00.000000000,69.48686274509811,2020-06-06,296.0,134 days 00:00:00.000000000,2020-03-30,7.0,-68 days +00:00:00.000000000,65 days 00:00:00.000000000,2020-02-24,0.0,22.0,0.0,0.0,,62.00209150326806,68.63300653594776,74.1830065359477,-41.85933503836317,-24.491048593350385,-31.84825234441603,-42.97953964194373,-29.73316283034953,18.2235807860262,-34.182267689684565
Mali,MLI2020-08-31,MLI,2020-03-26,2020-05-01,66.03,52.03,36 days 00:00:00.000000000,20250834.0,15.196,16.4,2020-03-26,0 days 00:00:00.000000000,56.23032679738561,2020-06-05,110.0,71 days 00:00:00.000000000,2020-06-05,7.0,0 days 00:00:00.000000000,71 days 00:00:00.000000000,2020-04-25,16.0,325.0,0.0,21.0,,56.965098039215576,57.361437908496846,50.0,-13.466666666666667,-11.277777777777779,-4.388888888888889,-33.96666666666667,-6.033333333333333,8.988888888888889,-13.826666666666668
Mauritania,MRT2020-08-31,MRT,2020-03-15,2020-05-19,71.79,57.790000000000006,65 days 00:00:00.000000000,4649660.0,4.289,20.3,2020-03-15,0 days 00:00:00.000000000,59.10627450980378,2020-06-21,590.0,98 days 00:00:00.000000000,2020-06-10,18.0,-11 days +00:00:00.000000000,87 days 00:00:00.000000000,2020-04-14,0.0,7.0,0.0,1.0,,60.48294117647036,60.76490196078443,50.0,,,,,,,
Mauritius,MUS2020-08-31,MUS,2020-03-20,2020-04-01,71.15,57.150000000000006,12 days 00:00:00.000000000,1271767.0,622.962,37.4,2020-03-20,0 days 00:00:00.000000000,54.71640522875821,2020-04-10,41.0,21 days 00:00:00.000000000,2020-04-02,2.0,-8 days +00:00:00.000000000,13 days 00:00:00.000000000,2020-04-19,1.0,325.0,0.0,9.0,,48.25816993464051,54.179803921568535,57.6797385620915,-65.26175349428209,-53.81652661064426,-68.83359013867488,-71.61510128913444,-54.53131524008351,21.557553956834532,-62.81165735456384
Mexico,MEX2020-08-31,MEX,2020-03-23,2020-04-06,63.46,49.46,14 days 00:00:00.000000000,128932753.0,66.444,29.3,2020-02-29,-23 days +00:00:00.000000000,58.651895424836596,2020-08-02,9556.0,132 days 00:00:00.000000000,2020-06-04,1091.0,-59 days +00:00:00.000000000,96 days 00:00:00.000000000,2020-03-30,145.0,993.0,4.0,20.0,17336.468999999997,75.58058823529402,69.31588235294127,0.0,-52.334006734006735,-20.122222222222224,-45.448484848484846,-52.82014146177164,-36.8946127946128,17.81111111111111,-41.52389361221965
Moldova,MDA2020-08-31,MDA,2020-03-11,2020-04-30,76.92,62.92,50 days 00:00:00.000000000,4033963.0,123.655,37.6,2020-03-08,-3 days +00:00:00.000000000,69.12967320261426,2020-08-01,786.0,143 days 00:00:00.000000000,2020-08-14,15.0,13 days 00:00:00.000000000,159 days 00:00:00.000000000,2020-04-07,101.0,965.0,4.0,19.0,,74.86980392156876,74.97032679738605,37.00980392156863,-43.4,-26.27777777777778,-17.622222222222224,-48.077777777777776,-38.96666666666667,12.78888888888889,-34.86888888888889
