location,primary_key_reaction,iso_code,minDate,maxDate,maxValue,changeGovResp,ramp_up_duration,population,population_density,median_age,newCases_startDate,CaseVsResp_Interval,AvgMaxGovResp_StartApr1,MaxNewCases_date,MaxNewCases_value,StartToMaxNewCases_Interval,MaxNewDeaths_date,MaxNewDeaths_value,MaxNewCasesToMaxNewDeaths_Interval,FirstNewCaseToMaxNewDeaths,3mth_date,newCases_3mnth,totCases_3mnth,newDeaths_3mnth,totDeaths_3mnth,gdp_per_capita,StringencyIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,avgOutdoorMobil
Barbados,BRB2020-08-31,BRB,2020-03-18,2020-04-19,80.13,66.13,32 days 00:00:00.000000000,287371.0,664.4630000000002,39.8,2020-03-18,0 days 00:00:00.000000000,66.00869281045762,2020-08-02,12.0,137 days 00:00:00.000000000,2020-04-06,1.0,-118 days +00:00:00.000000000,19 days 00:00:00.000000000,2020-04-17,0.0,75.0,0.0,5.0,,68.53078431372548,70.86679738562087,39.29738562091503,-55.55882352941177,-37.84276729559748,-45.99290780141844,-67.20370370370371,-53.91192411924119,20.814285714285713,-52.10202528987452
Belarus,BLR2020-08-31,BLR,2020-04-09,2020-04-20,25.0,11.0,11 days 00:00:00.000000000,9449321.0,46.858,40.3,2020-02-28,-41 days +00:00:00.000000000,22.989019607843126,2020-04-30,973.0,21 days 00:00:00.000000000,2020-07-26,11.0,87 days 00:00:00.000000000,149 days 00:00:00.000000000,2020-03-29,0.0,94.0,0.0,0.0,,12.944117647058796,27.170261437908497,0.0,-14.044444444444444,0.8222222222222222,39.03333333333333,-15.566666666666666,-20.433333333333334,2.3,-2.037777777777778
Belgium,BEL2020-08-31,BEL,2020-02-26,2020-05-04,78.85,64.85,68 days 00:00:00.000000000,11589616.0,375.564,41.8,2020-02-04,-22 days +00:00:00.000000000,67.92418300653614,2020-04-11,2336.0,45 days 00:00:00.000000000,2020-04-09,321.0,-2 days +00:00:00.000000000,65 days 00:00:00.000000000,2020-03-05,53.0,125.0,0.0,0.0,,64.28784313725482,65.70228758169941,80.1470588235294,-55.37777777777778,-19.06111111111111,-9.11111111111111,-50.16388888888889,-44.74722222222222,18.458333333333332,-35.69222222222222
Belize,BLZ2020-08-31,BLZ,2020-03-24,2020-05-15,73.08,59.08,52 days 00:00:00.000000000,397621.0,16.426,25.0,2020-03-24,0 days 00:00:00.000000000,67.45326797385617,2020-08-30,94.0,159 days 00:00:00.000000000,2020-08-25,4.0,-5 days +00:00:00.000000000,154 days 00:00:00.000000000,2020-04-23,0.0,18.0,0.0,2.0,,73.50202614379087,72.25777777777776,41.013071895424844,-49.698550724637684,-25.162995594713657,-37.37777777777778,-62.196363636363635,-45.671844660194175,17.269565217391303,-44.021506478737386
Benin,BEN2020-08-31,BEN,2020-03-17,2020-04-20,61.86,47.86,34 days 00:00:00.000000000,12123198.0,99.11,18.8,2020-03-17,0 days 00:00:00.000000000,53.6354248366012,2020-07-18,139.0,123 days 00:00:00.000000000,2020-06-30,3.0,-18 days +00:00:00.000000000,105 days 00:00:00.000000000,2020-04-16,0.0,35.0,0.0,1.0,,51.59307189542486,56.986013071895286,35.2124183006536,-15.137931034482758,-1.7305555555555556,2.3597122302158273,-19.316666666666666,-5.8412017167381975,8.379446640316205,-7.93332854864547
Bhutan,BTN2020-08-31,BTN,2020-03-06,2020-04-17,82.05,68.05,42 days 00:00:00.000000000,771612.0,21.188,28.6,2020-03-06,0 days 00:00:00.000000000,77.27294117647097,2020-08-31,29.0,178 days 00:00:00.000000000,2020-03-06,0.0,-178 days +00:00:00.000000000,0 days 00:00:00.000000000,2020-04-05,0.0,5.0,0.0,0.0,,76.67444444444433,77.56764705882362,75.65359477124183,,,,,,,
Bolivia,BOL2020-08-31,BOL,2020-03-12,2020-04-07,76.92,62.92,26 days 00:00:00.000000000,11673029.0,10.202,25.4,2020-03-12,0 days 00:00:00.000000000,72.40529411764709,2020-08-16,2687.0,157 days 00:00:00.000000000,2020-08-16,119.0,0 days 00:00:00.000000000,157 days 00:00:00.000000000,2020-04-11,8.0,276.0,1.0,20.0,,92.16836601307179,78.32568627451005,39.869281045751634,-72.35746102449889,-61.81006864988559,-65.31555555555556,-76.21604938271605,-56.33222222222222,30.32183908045977,-66.40627136697566
Bosnia and Herzegovina,BIH2020-08-31,BIH,2020-03-06,2020-04-10,75.0,61.0,35 days 00:00:00.000000000,3280815.0,68.49600000000001,42.5,2020-03-06,0 days 00:00:00.000000000,55.404117647058705,2020-07-31,678.0,147 days 00:00:00.000000000,2020-07-31,31.0,0 days 00:00:00.000000000,147 days 00:00:00.000000000,2020-04-05,46.0,632.0,3.0,21.0,,67.44627450980401,61.24477124183007,23.284313725490197,-43.17777777777778,-16.42222222222222,0.5444444444444444,-37.13333333333333,-31.855555555555554,10.133333333333333,-25.608888888888885
Botswana,BWA2020-08-31,BWA,2020-04-01,2020-04-02,75.64,61.64,1 days 00:00:00.000000000,2351625.0,4.044,25.8,2020-04-01,0 days 00:00:00.000000000,61.38967320261445,2020-08-25,254.0,146 days 00:00:00.000000000,2020-08-27,3.0,2 days 00:00:00.000000000,148 days 00:00:00.000000000,2020-05-01,0.0,23.0,0.0,1.0,,65.5260784313724,61.18928104575159,62.5,-38.714285714285715,-22.82198952879581,-8.764084507042254,-45.21671826625387,-28.616838487972508,25.65,-28.826783300870026
Brazil,BRA2020-08-31,BRA,2020-03-12,2020-05-25,68.91,54.91,74 days 00:00:00.000000000,212559409.0,25.04,33.5,2020-02-26,-15 days +00:00:00.000000000,65.00274509803913,2020-07-30,69074.0,140 days 00:00:00.000000000,2020-07-30,1595.0,0 days 00:00:00.000000000,155 days 00:00:00.000000000,2020-03-27,482.0,2915.0,20.0,77.0,,75.91666666666694,67.76065359477134,49.83660130718954,-51.224603174603175,-11.886111111111111,-45.41904761904762,-50.64246031746032,-27.351190476190474,14.508333333333333,-37.30468253968254
