,country,PC 1,PC 2,PC 3,Class,logPercent_maxND
0,Afghanistan,-0.5609734034937395,-1.4701307355379705,-0.5509389754816235,0,-3.842077868880011
1,Albania,-2.1604380437796387,-0.7376008796839183,1.6667700093626439,0,-3.6809093578706777
2,Algeria,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,-4.018730637150399
3,Angola,1.2708497603142366,-1.549488608072369,-0.8902293921814698,2,-4.7385991418931726
4,Argentina,3.628440926180756,-1.644506174523379,0.5469559700137794,2,-3.1458953347971335
5,Aruba,2.7842399284444297,3.7717909514252996,2.2876117361546795,1,-3.028432972137492
6,Australia,-0.5870548745725356,-1.858924218797516,1.9246347159400503,0,-4.008598145049606
7,Austria,0.7478701204491637,5.196398043970164,0.5766124905593566,1,-3.4631895374818544
8,Azerbaijan,-1.9766007038822448,-2.0314792174060265,2.2726796031016843,0,-3.8920592666427596
9,Bahrain,0.681571372151653,0.09795141722695724,2.204764854592013,2,-3.385755097997557
10,Bangladesh,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,-4.41048562850623
11,Barbados,2.985760806889591,1.3321767902360373,-0.7259089774944522,2,-3.4584429392490006
12,Belarus,-3.683599926479808,1.8948957192728733,-3.968724755620774,0,-3.934007917367147
13,Belgium,1.7334648970546325,1.2349374630696803,-1.3371140980548084,2,-2.5575640142710787
14,Belize,2.445660889828365,-0.9167178734703622,-0.16600893953159535,2,-2.9974093218804083
15,Benin,-2.1959143553996987,-0.7596766854802521,-0.7231032287793601,0,-4.606495943538845
17,Bolivia,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,-2.9916366030758184
18,Bosnia and Herzegovina,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,-3.0246200480591328
19,Botswana,1.2435675002813416,-0.5243907843447864,-1.276573858740372,2,-3.8942468137834063
20,Brazil,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,-3.1247196464986917
21,Brunei,-3.7974700497328566,0.9316513206016092,-0.94132742107647,0,-3.6409611815877323
22,Bulgaria,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,-3.4801597882157003
23,Burkina Faso,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,-4.542063146047113
24,Burundi,-4.522697006468065,0.3907368195396795,-2.1938006325585224,0,-5.075210380510292
25,Cameroon,-1.6903756929627685,-0.8857885595746424,-0.4007815841695692,0,-3.6531448534400384
26,Canada,0.5360628401141685,0.8698437173697267,-2.171041054046893,2,-3.2304737424283063
27,Cape Verde,3.233261331882736,-0.002481419096782865,0.7815450759181474,2,-3.267944163499044
28,Central African Republic,-3.2019378299076786,-1.0098448453851971,-0.3697011553146933,0,-3.8388278700329503
29,Chad,-3.1109925031403822,-0.7867825154051342,-0.10128742097976216,0,-4.215528090512191
30,Chile,4.794638673388183,0.23304331200240405,2.3307882356036487,2,-2.2573267827653587
31,China,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,-4.047568788602619
32,Colombia,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,-3.1045117274639216
33,Congo,-2.2824485467823608,-1.492596813265027,0.8293291867616491,0,-3.537668954291747
34,Costa Rica,2.0655792991323336,-1.016055296817025,-0.17772477419978602,2,-3.45179615460889
35,Cote d'Ivoire,-3.15680925824132,-0.7656960250185324,-0.4382653109070821,0,-4.819186400243407
36,Croatia,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,-3.710251526990179
37,Cuba,-2.3633681946278737,-0.7723237053708364,1.2056627608133503,0,-4.275948926730813
38,Cyprus,-2.6357604176626044,2.4905268668047684,2.513617735227893,1,-3.4653327757959738
39,Czech Republic,-3.2059514622421688,1.4148448946636278,1.2389869487923424,0,-3.774475683488067
40,Democratic Republic of Congo,-2.9598288680290317,-1.2443841437408971,0.2652664079232566,0,-4.952120893132464
