,country,PC 1,PC 2,PC 3,Class,logPercent_TD_3mnth
0,Afghanistan,-0.5609734034937395,-1.4701307355379705,-0.5509389754816235,0,-5.590265895886211
1,Albania,-2.1604380437796387,-0.7376008796839183,1.6667700093626439,0,-3.1166379274321154
2,Algeria,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,-4.244039918876262
3,Angola,1.2708497603142366,-1.549488608072369,-0.8902293921814698,2,-5.215720396612835
4,Argentina,3.628440926180756,-1.644506174523379,0.5469559700137794,2,-4.123618940085981
7,Austria,0.7478701204491637,5.196398043970164,0.5766124905593566,1,-3.2385478876813276
8,Azerbaijan,-1.9766007038822448,-2.0314792174060265,2.2726796031016843,0,-4.4039426276216345
9,Bahrain,0.681571372151653,0.09795141722695724,2.204764854592013,2,-3.753731883292151
10,Bangladesh,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,-4.986216681111843
11,Barbados,2.985760806889591,1.3321767902360373,-0.7259089774944522,2,-2.759472934912982
14,Belize,2.445660889828365,-0.9167178734703622,-0.16600893953159535,2,-3.2984393175443896
15,Benin,-2.1959143553996987,-0.7596766854802521,-0.7231032287793601,0,-5.083617198258508
17,Bolivia,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,-3.7661535688043677
18,Bosnia and Herzegovina,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,-3.1937624471594863
19,Botswana,1.2435675002813416,-0.5243907843447864,-1.276573858740372,2,-4.3713680685030685
20,Brazil,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,-4.44098960871941
21,Brunei,-3.7974700497328566,0.9316513206016092,-0.94132742107647,0,-3.6409611815877323
22,Bulgaria,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,-3.4994649434110867
23,Burkina Faso,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,-3.9400031547191503
24,Burundi,-4.522697006468065,0.3907368195396795,-2.1938006325585224,0,-5.075210380510292
25,Cameroon,-1.6903756929627685,-0.8857885595746424,-0.4007815841695692,0,-4.469754355642857
27,Cape Verde,3.233261331882736,-0.002481419096782865,0.7815450759181474,2,-3.745065418218706
30,Chile,4.794638673388183,0.23304331200240405,2.3307882356036487,2,-4.026129264969478
31,China,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,-4.675284915293115
32,Colombia,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,-4.162503674441608
33,Congo,-2.2824485467823608,-1.492596813265027,0.8293291867616491,0,-4.042818932611653
34,Costa Rica,2.0655792991323336,-1.016055296817025,-0.17772477419978602,2,-4.406038664048215
35,Cote d'Ivoire,-3.15680925824132,-0.7656960250185324,-0.4382653109070821,0,-4.9441251368517065
36,Croatia,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,-4.3123115183181415
37,Cuba,-2.3633681946278737,-0.7723237053708364,1.2056627608133503,0,-3.878008918058775
38,Cyprus,-2.6357604176626044,2.4905268668047684,2.513617735227893,1,-2.9882115210763116
39,Czech Republic,-3.2059514622421688,1.4148448946636278,1.2389869487923424,0,-3.5383864947571
40,Democratic Republic of Congo,-2.9598288680290317,-1.2443841437408971,0.2652664079232566,0,-4.651090897468483
41,Denmark,-1.3479489887920773,3.348919789532716,0.7130038332316825,1,-3.0468404305893224
42,Djibouti,-2.8543042277197617,2.1497115362938453,2.013141557262444,0,-3.6937278280613843
43,Dominican Republic,3.2380162291671297,0.18329480258472974,-0.7625899021780793,2,-3.3277756570940467
44,Ecuador,5.051380330971196,0.6197675930868796,-0.888608531865234,2,-3.4541822215618696
45,Egypt,0.4945191023070458,-0.7343898890728976,-0.9723406135823952,2,-5.708991664649597
46,El Salvador,5.074696773719633,-1.5902481411589666,-0.21204861292531127,2,-3.9668923628238213
48,Estonia,-1.437043701957252,3.1763700435669713,-1.6321887219859497,1,-4.122720022683076
49,Ethiopia,-2.4909119387339937,-2.5719036264190005,1.9022424270091909,0,-5.583439036009149
52,France,2.394852860418126,1.2914611870903316,-2.3150803673340135,2,-5.814736980264344
53,Gabon,0.9970554648121336,-0.6159513703743978,-0.15075730057836156,2,-4.347472089326256
54,Gambia,-2.8910479976265955,-2.175037472496436,3.10054051833008,0,-4.38321627262957
57,Ghana,-0.11402767373956915,-1.080237909015132,-0.9399086731323804,2,-4.5892924293347255
58,Greece,0.33685292151021584,0.9002522754814706,-0.9492799689507148,2,-3.5708370397664044
59,Guam,-2.337659843794228,2.0814235854918546,5.859051893474464,1,-2.52835869756267
60,Guatemala,3.3112070622464262,-1.5001271598670731,-0.07777547162872474,2,-4.554260553132595
62,Guyana,-2.0373340601365166,-1.6054073674699034,1.6330113603766767,0,-3.117580054342223
63,Haiti,0.019507504733293688,-0.5697763180507498,-0.9816048397728908,2,-4.579880083084097
64,Honduras,4.442665359032064,-1.4483202768808487,0.007075231810662276,2,-3.6156260501967035
65,Hungary,-0.3883612098058247,0.8828305049912346,-0.13489408896995345,0,-3.4798428831178496
66,Iceland,-2.8881394855682183,7.175629590455806,2.824023865048797,1,-3.2320426643848315
68,Indonesia,-0.4186986018034747,-2.332648048976252,1.1240239639351035,0,-4.303455928796464
69,Iran,-2.659835247263519,1.448631031984287,1.9181699105850465,0,-2.7679966599312387
70,Iraq,0.8571907580320062,-2.288934677747002,1.1717899784919672,2,-4.142071094847717
71,Ireland,2.147419239755259,3.7693704517851017,1.1238872690098325,1,-2.961139383710488
72,Israel,1.5510391720810404,-0.4126256848801435,0.859232689950159,2,-4.9372942179042925
73,Italy,2.460760542942245,0.8905360290894683,-1.0374613151385352,2,-4.3190832755798185
