,country,PC 1,PC 2,PC 3,Class,logPercent_ND_3mnth
2,Algeria,-2.755309784976315,-1.2343519879527924,1.2080691780668984,0,-5.039919936220337
4,Argentina,3.628440926180756,-1.644506174523379,0.5469559700137794,2,-5.177976602408574
7,Austria,0.7478701204491637,5.196398043970164,0.5766124905593566,1,-3.699278726212821
9,Bahrain,0.681571372151653,0.09795141722695724,2.204764854592013,2,-4.230853138011813
10,Bangladesh,2.076213498217257,-1.221131752691095,-0.1072736687700613,2,-5.517695598154098
17,Bolivia,5.390606715242827,-1.3572376783843236,-0.8209987712611505,2,-5.0671835644683485
18,Bosnia and Herzegovina,0.5545325252625078,0.7108214502228357,0.13419542987732533,2,-4.038860487173743
20,Brazil,1.5570163895545956,-0.9559871180525789,-0.1779692046203921,2,-5.02645033822791
22,Bulgaria,0.011295161284019223,0.4912454211424315,-0.6682377933461997,2,-4.540857628569312
23,Burkina Faso,-1.8936227545922648,-0.28485952145322785,-1.268831404868937,0,-5.320214396430757
30,Chile,4.794638673388183,0.23304331200240405,2.3307882356036487,2,-4.980371774408804
31,China,-2.6923696909712596,-1.8132364784032544,1.6196271587867883,0,-5.5049459851265246
32,Colombia,4.5235092298352875,-1.767853285831526,0.11832175062625612,2,-5.2294504640722215
36,Croatia,0.3010313698360552,0.6891863133393896,0.3398929065728733,2,-4.613341513982123
39,Czech Republic,-3.2059514622421688,1.4148448946636278,1.2389869487923424,0,-4.184650148577116
41,Denmark,-1.3479489887920773,3.348919789532716,0.7130038332316825,1,-3.721451089065897
43,Dominican Republic,3.2380162291671297,0.18329480258472974,-0.7625899021780793,2,-4.081103323752658
44,Ecuador,5.051380330971196,0.6197675930868796,-0.888608531865234,2,-4.644513919732161
46,El Salvador,5.074696773719633,-1.5902481411589666,-0.21204861292531127,2,-4.811990402838078
57,Ghana,-0.11402767373956915,-1.080237909015132,-0.9399086731323804,2,-5.191352420662687
58,Greece,0.33685292151021584,0.9002522754814706,-0.9492799689507148,2,-4.716965075444643
64,Honduras,4.442665359032064,-1.4483202768808487,0.007075231810662276,2,-4.99583729190831
65,Hungary,-0.3883612098058247,0.8828305049912346,-0.13489408896995345,0,-4.206841611054112
68,Indonesia,-0.4186986018034747,-2.332648048976252,1.1240239639351035,0,-5.290866801488443
69,Iran,-2.659835247263519,1.448631031984287,1.9181699105850465,0,-3.751056581916309
70,Iraq,0.8571907580320062,-2.288934677747002,1.1717899784919672,2,-5.303439097082692
71,Ireland,2.147419239755259,3.7693704517851017,1.1238872690098325,1,-3.7904431565415133
73,Italy,2.460760542942245,0.8905360290894683,-1.0374613151385352,2,-4.878391286486831
77,Kazakhstan,1.7014005825499774,-1.4400316250088183,1.7800218615778138,2,-4.671559438075634
78,Kenya,0.6225040739844027,-1.9714771327939884,0.4421392420818809,2,-5.73055053630977
86,Libya,0.2496582514698677,-1.88952196174788,0.4106793098280903,2,-4.837038088537013
87,Lithuania,-1.1900465191954186,2.57500227349031,-1.6021892985353383,0,-4.1339045517056485
88,Luxembourg,2.374240874524141,8.688564903031015,1.6956575795514983,1,-3.79655768262357
95,Mexico,1.9102470193127459,-1.368342881265621,-1.774242197688004,2,-5.508303264584656
96,Moldova,1.7076841222208765,0.3408806436409261,0.5791164056273403,2,-4.003671919165164
98,Morocco,4.4959534415005,-1.0997375719448863,-0.7863924058653267,2,-5.090029356027041
103,Netherlands,-0.0324860856823525,7.330922063941164,1.917733517900588,1,-3.265397941326418
104,New Zealand,0.8974543238849523,1.3688652980576057,-1.8896065302618348,2,-4.683248190730275
106,Niger,-2.763821234294363,0.7894026008924213,-2.58711613772278,0,-5.383934439662807
108,Norway,-1.4414188142310582,4.0659880656464775,-0.9004585417491823,1,-4.4330687986151025
112,Panama,5.450575738502073,1.7084110393391876,1.132383863307017,2,-4.032897457847594
115,Peru,6.278380314017986,-0.3684780881440594,1.3810945460303212,2,-4.5181432627382545
117,Poland,0.1278518896728931,0.6594361239369909,-1.1495172961988342,2,-4.431898891859429
118,Portugal,2.5449366658603134,4.648257576692774,1.3372023265006734,1,-3.5770961759722724
119,Puerto Rico,3.5395960708049925,1.9111724209122212,1.4210730349279062,2,-4.45649356942351
121,Romania,1.2492160664204204,0.20745455588648498,-0.38118637701768665,2,-4.4390547015307655
124,Saudi Arabia,2.1049439027324865,-0.8344323472755267,0.1431015666470683,2,-4.76360101545986
125,Senegal,0.4575648046769235,-0.9173605962945496,-1.2287857301611238,2,-5.223857399714452
126,Serbia,1.2421036173140996,2.061909777812065,0.7855681302294134,1,-3.9877043055164103
128,Sierra Leone,-3.445957688259216,-0.3631869912095688,-0.3798031332070802,0,-4.424717520680777
131,Slovenia,0.9515454043080122,3.4411601704022763,-0.945606952897294,1,-3.715780292853075
132,Somalia,-4.138373587690527,0.02170326683620416,-1.5813948584125992,0,-4.724090613057471
133,South Africa,2.6529122906591613,-1.7685586097547452,0.4665355134677234,2,-5.472088335854526
141,Switzerland,0.21737291085460586,7.703204815877193,2.8201369577860183,1,-3.173819910057682
143,Tanzania,-2.9167373725120638,0.33679174143583623,-2.460463219943612,0,-5.776223146224183
148,Tunisia,-2.837283329331948,-0.3736902273151884,-0.034447724134380124,0,-5.072566695659935
149,Turkey,0.8835475780514649,3.0561750048240364,0.4470100860043088,1,-3.934802716635
151,Ukraine,0.09438663561132804,-0.6426041344752669,-0.2877100909900454,2,-5.339786811724248
