location,population,population_density,median_age,new_cases,percentage_of_Pop_New_Cases,new_deaths,percentage_of_Pop_New_Deaths,new_tests,percentage_of_Pop_New_Tests,total_cases_updated,percentage_of_Pop_Total_Cases,total_deaths_updated,percentage_of_Pop_Total_Deaths,total_tests_updated,percentage_of_Pop_Total_Tests,StringencyIndex_updated,percentage_change_stringency,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,percentage_change_GovernmentResponse,ContainmentHealthIndex_updated,percentage_change_ContainmentHealth,EconomicSupportIndex_updated,percentage_change_EconomicSupport,lat,lon
United States,331002647.0,35.60800000000013,38.30000000000002,24578.536885245903,0.007425480463074943,750.2827868852459,2.2666972415034665e-06,343845.9672131148,0.10388012613479639,1648821.2909836066,0.49812933700908035,67881.4918032787,0.020507839565185933,21141434.139344264,6.387089145950021,50.52184426229482,1.2308402953494884,51.02963114754094,50.38512295081953,1.3988664286167143,52.19086065573755,1.331615705412422,40.471311475409834,0.0,39.78373040000024,-100.44588250000014
Brazil,212559409.0,25.039999999999967,33.5,15829.143442622952,0.007446926728434288,495.1967213114754,2.329686197572536e-06,0.0,0.0,814776.2868852459,0.38331697040296425,30832.647540983606,0.014505425888243613,900500.8893442623,0.4236466847460336,53.9223770491805,1.4424757222112092,55.44360655737685,46.09561475409832,1.817238848445475,48.516311475409886,1.747226938057434,32.78688524590164,0.4098360655737705,-10.333333300000039,-53.20000000000019
India,1380004385.0,450.41899999999845,28.199999999999882,14841.168032786885,0.0010754435416367816,264.2172131147541,1.9146114025916972e-07,166548.05737704918,0.012068661461322041,518017.9631147541,0.037537414282546214,11351.25,0.0008225517341381489,6679386.147540984,0.4840119509867342,60.23151639344254,1.3686425923704992,63.805778688524576,61.549959016393245,1.2767075290280645,62.80946721311471,1.2029019943600983,54.61065573770492,0.20491803278688525,22.351114799999863,78.6677428000002
Russia,145934460.0,8.82300000000003,39.60000000000018,4058.7131147540986,0.002781188976718792,70.05327868852459,4.800324658653248e-07,144857.57786885247,0.09926207824310483,313035.6106557377,0.21450424434073875,4687.319672131148,0.00321193477683828,10306201.25,7.062212208137817,53.37823770491805,1.1969606768595447,53.21807377049159,53.77983606557391,1.482921468614098,56.71372950819663,1.418698535811225,37.653688524590166,0.10245901639344263,64.6863135999997,97.74530610000029
Peru,32971846.0,25.12899999999993,29.10000000000004,3479.3870967741937,0.010552600229826964,154.7741935483871,4.694131882952113e-06,2968.8064516129034,0.009004065018418753,197963.5806451613,0.6004018720855401,7883.419354838709,0.023909548027243332,189756.27956989247,0.575510026250555,82.03752688172048,1.557565630955368,82.96279569892482,76.75704301075271,3.0569873459213572,78.42188172043018,2.9634373297848953,67.60752688172043,1.075268817204301,-6.869969699999978,-75.04585149999964
