population,population_density,median_age,new_cases,percentage_of_Pop_New_Cases,new_deaths,percentage_of_Pop_New_Deaths,new_tests,percentage_of_Pop_New_Tests,total_cases_updated,percentage_of_Pop_Total_Cases,total_deaths_updated,percentage_of_Pop_Total_Deaths,total_tests_updated,percentage_of_Pop_Total_Tests,StringencyIndex_updated,percentage_change_stringency,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,percentage_change_GovernmentResponse,ContainmentHealthIndex_updated,percentage_change_ContainmentHealth,EconomicSupportIndex_updated,percentage_change_EconomicSupport,lat,lon
6486201.0,307.81100000000094,27.59999999999998,154.99397590361446,0.002389595633925228,4.319277108433735,6.659178629268098e-07,1835.44578313253,0.02829770127587057,7141.126506024097,0.11009721262144201,189.53614457831324,0.002922144173119415,126424.23493975903,1.949126074565974,92.01626506024076,0.2219696307320058,96.1789759036146,83.51644578313261,0.34194081231542334,86.70481927710868,0.25515098135551534,65.96385542168674,0.9036144578313253,13.800038200000014,-88.91406830000012
9904608.0,82.80500000000019,24.900000000000045,351.89473684210526,0.003552838606455757,10.865497076023392,1.0970143468599057e-06,0.0,0.0,17064.83625730994,0.1722918893641216,529.3391812865497,0.005344372854398172,0.0,0.0,96.02713450292366,0.9867473879967148,96.26181286549712,84.77590643274893,0.8828792162662624,86.13894736842128,0.7631884364302032,77.26608187134502,0.0,15.257243200000008,-86.07551450000018
6871287.0,3.6229999999999998,29.0,83.89375,0.0012209321194122736,1.45,2.1102305870792477e-07,0.0,0.0,1951.8125,0.028405340949955955,39.88125,0.0005804043696617535,0.0,0.0,93.7033749999998,-0.015459253245555877,96.96550000000016,71.28249999999983,-0.014282450456875114,84.24206249999978,-0.014287461639965743,0.0,0.0,26.823447199999965,18.12367230000003
3546427.0,44.30400000000007,19.300000000000043,1.950920245398773,5.501086714596895e-05,0.0,0.0,0.0,0.0,133.3926380368098,0.003761324793568566,0.0,0.0,0.0,0.0,91.56012269938681,1.2428417613632627,94.53092024539897,73.39147239263804,1.4877735154197218,82.44006134969337,1.451297000450799,23.619631901840492,0.0,15.950031900000019,37.99996680000003
17915567.0,157.83399999999978,22.900000000000063,434.77647058823527,0.0024268083203184986,16.11764705882353,8.996448205531829e-07,0.0,0.0,19587.90588235294,0.10933455738438501,750.5411764705882,0.0041893241585409385,0.0,0.0,92.93870588235298,0.6773616118079586,97.01217647058823,78.07835294117642,0.7367118377449816,81.90376470588261,0.6496084851543751,57.05882352941177,-0.0980392156862745,15.635608800000053,-89.89880869999982
18776707.0,6.681000000000019,30.60000000000003,759.7267441860465,0.004046112793825066,10.354651162790697,5.514625734315764e-07,13997.406976744185,0.07454665494191387,37062.78488372093,0.19738703322004716,360.9593023255814,0.0019223780949747006,1053688.2441860465,5.611677511855762,79.55273255813958,1.401511254617724,82.86872093023258,74.03046511627926,1.376496953038757,80.96377906976731,1.3219412511931312,35.901162790697676,1.1627906976744187,47.22860860000015,65.20931969999998
50882884.0,44.22299999999996,32.199999999999896,3377.4333333333334,0.006637660973252483,107.57777777777778,2.1142232774733793e-06,14439.261111111111,0.028377442424668983,121251.27222222222,0.23829481092742746,4010.661111111111,0.007882141883135222,700108.1333333333,1.375920699253865,81.32377777777813,1.486244544796072,86.50411111111114,78.37555555555583,1.254591882417538,80.42255555555572,1.1692703775120055,67.08333333333333,0.2777777777777778,2.8894434000000033,-73.78389199999991
7132530.0,17.143999999999927,26.5,96.60112359550561,0.0013543738840987088,1.7303370786516854,2.425979391116036e-07,1044.5,0.014644172544665074,2703.724719101124,0.037906951938528444,34.91011235955056,0.0004894492187141249,57012.50561797753,0.7993307510515559,82.29612359550569,3.9107133262552094,85.43421348314632,76.63955056179786,2.8794668810698014,78.82735955056194,2.785932471359084,64.6067415730337,1.1235955056179776,-23.316593500000067,-58.16934450000007
32971846.0,25.12899999999993,29.10000000000004,3479.3870967741937,0.010552600229826964,154.7741935483871,4.694131882952113e-06,2968.8064516129034,0.009004065018418753,197963.5806451613,0.6004018720855401,7883.419354838709,0.023909548027243332,189756.27956989247,0.575510026250555,82.03752688172048,1.557565630955368,82.96279569892482,76.75704301075271,3.0569873459213572,78.42188172043018,2.9634373297848953,67.60752688172043,1.075268817204301,-6.869969699999978,-75.04585149999964
34813867.0,15.321999999999989,31.89999999999994,1758.7765363128492,0.005051942481175242,21.620111731843576,6.210201162612466e-07,25159.625698324024,0.07226897746901835,124989.74301675978,0.3590228658504376,1218.2569832402235,0.0034993440494278426,1451252.3351955307,4.1686042380627555,75.14385474860325,1.216810145538187,82.6074860335195,74.14368715083809,0.7491025110508943,78.24039106145261,0.663082442873427,51.60614525139665,0.37243947858473003,25.62426180000004,42.35283280000015
12952209.0,494.86900000000065,20.300000000000058,23.647058823529413,0.00018257162792485374,0.09411764705882353,7.266532454720545e-09,2279.6235294117646,0.01760026825857863,934.3176470588236,0.007213577599456767,2.7705882352941176,2.1390854913583607e-05,126641.32352941176,0.9777584930061874,73.30876470588228,0.8496350798299841,78.64917647058826,70.57017647058811,0.6391454340117753,78.05299999999987,0.5947125277894226,29.41176470588235,0.5882352941176471,-1.9646630999999968,30.064435799999963
4314768.0,55.13299999999986,29.6999999999999,523.0965909090909,0.012123400166801341,11.335227272727273,2.627076884024186e-06,1831.1477272727273,0.042439077310129504,28636.596590909092,0.6636879802322879,624.5,0.014473547592825382,106627.45454545454,2.471221037734928,82.09056818181817,1.8628452152454877,87.32585227272752,72.7591477272728,2.0184093991951895,77.7127272727275,1.921726844721759,45.52556818181818,0.11363636363636363,8.55955900000002,-81.13084340000019
