location,population,population_density,median_age,new_cases,percentage_of_Pop_New_Cases,new_deaths,percentage_of_Pop_New_Deaths,new_tests,percentage_of_Pop_New_Tests,total_cases_updated,percentage_of_Pop_Total_Cases,total_deaths_updated,percentage_of_Pop_Total_Deaths,total_tests_updated,percentage_of_Pop_Total_Tests,StringencyIndex_updated,percentage_change_stringency,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,percentage_change_GovernmentResponse,ContainmentHealthIndex_updated,percentage_change_ContainmentHealth,EconomicSupportIndex_updated,percentage_change_EconomicSupport,lat,lon
United States,331002647.0,35.60800000000013,38.30000000000002,24578.536885245903,0.007425480463074943,750.2827868852459,2.2666972415034665e-06,343845.9672131148,0.10388012613479639,1648821.2909836066,0.49812933700908035,67881.4918032787,0.020507839565185933,21141434.139344264,6.387089145950021,50.52184426229482,1.2308402953494884,51.02963114754094,50.38512295081953,1.3988664286167143,52.19086065573755,1.331615705412422,40.471311475409834,0.0,39.78373040000024,-100.44588250000014
Brazil,212559409.0,25.039999999999967,33.5,15829.143442622952,0.007446926728434288,495.1967213114754,2.329686197572536e-06,0.0,0.0,814776.2868852459,0.38331697040296425,30832.647540983606,0.014505425888243613,900500.8893442623,0.4236466847460336,53.9223770491805,1.4424757222112092,55.44360655737685,46.09561475409832,1.817238848445475,48.516311475409886,1.747226938057434,32.78688524590164,0.4098360655737705,-10.333333300000039,-53.20000000000019
United Kingdom,67886004.0,272.8980000000007,40.799999999999976,1370.766393442623,0.0020192179722975335,170.077868852459,2.505345120217403e-06,53504.20081967213,0.07881477427905777,152121.49590163934,0.22408373882433757,21253.77049180328,0.03130802999069334,3338179.655737705,4.9173312009021855,50.84663934426235,1.180492602665825,54.74270491803288,53.37184426229512,1.4058989627083,50.75881147540966,1.286266003156945,67.72540983606558,0.7757611241217798,54.70235449999979,-3.276575299999992
Italy,60461828.0,205.85899999999907,47.899999999999785,1099.2540983606557,0.0018180960363299893,145.39754098360655,2.4047824188115243e-06,17141.303278688523,0.02835062029333373,145010.881147541,0.23983873121987143,20114.344262295082,0.03326784010284154,1691409.8401639345,2.7974837945090485,54.71004098360652,2.0019769951575817,61.10512295081975,55.4979918032787,2.597947234618013,57.72909836065572,2.522920509949958,43.23770491803279,0.34153005464480873,42.638426100000146,12.67429700000002
France,65273512.0,122.57800000000053,42.0,1139.110655737705,0.001745134620208126,125.43442622950819,1.9216742348643388e-06,24551.614754098362,0.03761344227057731,100873.34426229508,0.15453947730328207,16721.889344262294,0.02561818543525327,0.0,0.0,51.10557377049192,2.0681630766286365,53.32409836065594,52.632049180327805,2.2634118715628797,51.43405737704924,2.1469632038650883,59.221311475409834,-0.10245901639344263,46.603354000000145,1.8883334999999914
