location,population,population_density,median_age,new_cases,percentage_of_Pop_New_Cases,new_deaths,percentage_of_Pop_New_Deaths,new_tests,percentage_of_Pop_New_Tests,total_cases_updated,percentage_of_Pop_Total_Cases,total_deaths_updated,percentage_of_Pop_Total_Deaths,total_tests_updated,percentage_of_Pop_Total_Tests,StringencyIndex_updated,percentage_change_stringency,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,percentage_change_GovernmentResponse,ContainmentHealthIndex_updated,percentage_change_ContainmentHealth,EconomicSupportIndex_updated,percentage_change_EconomicSupport,lat,lon
Honduras,9904608.0,82.80500000000019,24.900000000000045,351.89473684210526,0.003552838606455757,10.865497076023392,1.0970143468599057e-06,0.0,0.0,17064.83625730994,0.1722918893641216,529.3391812865497,0.005344372854398172,0.0,0.0,96.02713450292366,0.9867473879967148,96.26181286549712,84.77590643274893,0.8828792162662624,86.13894736842128,0.7631884364302032,77.26608187134502,0.0,15.257243200000008,-86.07551450000018
El Salvador,6486201.0,307.81100000000094,27.59999999999998,154.99397590361446,0.002389595633925228,4.319277108433735,6.659178629268098e-07,1835.44578313253,0.02829770127587057,7141.126506024097,0.11009721262144201,189.53614457831324,0.002922144173119415,126424.23493975903,1.949126074565974,92.01626506024076,0.2219696307320058,96.1789759036146,83.51644578313261,0.34194081231542334,86.70481927710868,0.25515098135551534,65.96385542168674,0.9036144578313253,13.800038200000014,-88.91406830000012
Colombia,50882884.0,44.22299999999996,32.199999999999896,3377.4333333333334,0.006637660973252483,107.57777777777778,2.1142232774733793e-06,14439.261111111111,0.028377442424668983,121251.27222222222,0.23829481092742746,4010.661111111111,0.007882141883135222,700108.1333333333,1.375920699253865,81.32377777777813,1.486244544796072,86.50411111111114,78.37555555555583,1.254591882417538,80.42255555555572,1.1692703775120055,67.08333333333333,0.2777777777777778,2.8894434000000033,-73.78389199999991
Guatemala,17915567.0,157.83399999999978,22.900000000000063,434.77647058823527,0.0024268083203184986,16.11764705882353,8.996448205531829e-07,0.0,0.0,19587.90588235294,0.10933455738438501,750.5411764705882,0.0041893241585409385,0.0,0.0,92.93870588235298,0.6773616118079586,97.01217647058823,78.07835294117642,0.7367118377449816,81.90376470588261,0.6496084851543751,57.05882352941177,-0.0980392156862745,15.635608800000053,-89.89880869999982
Peru,32971846.0,25.12899999999993,29.10000000000004,3479.3870967741937,0.010552600229826964,154.7741935483871,4.694131882952113e-06,2968.8064516129034,0.009004065018418753,197963.5806451613,0.6004018720855401,7883.419354838709,0.023909548027243332,189756.27956989247,0.575510026250555,82.03752688172048,1.557565630955368,82.96279569892482,76.75704301075271,3.0569873459213572,78.42188172043018,2.9634373297848953,67.60752688172043,1.075268817204301,-6.869969699999978,-75.04585149999964
